prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id,prompt_type,logit_io,logit_s,logit_diff,prob_io,prob_s,is_correct,rank_io,top_1_prediction,top_k_predictions,top_k_logits
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616,clean,15.092305,13.17704,1.915265,0.2053335,0.03024619,True,1,David,David | the | his | a | them,15.0923 | 14.9083 | 14.0141 | 13.7023 | 13.6447
"After Amy and Wendy left the school, Amy sent the ticket to","After Quinn and Wendy left the school, Quinn sent the ticket to",Wendy,Amy,Quinn,BAB,3,the school,ticket,28314,14235,clean,16.331614,14.524534,1.807079,0.38861394,0.0637843,True,1,Wendy,Wendy | her | the | Amy | a,16.3316 | 15.2768 | 14.8634 | 14.5245 | 13.4778
"When Jack and Zach visited the station, Zach handed the phone to","When Jack and Emma visited the station, Emma handed the phone to",Jack,Zach,Emma,ABB,1,the station,phone,3619,18825,clean,16.486116,13.424851,3.061265,0.51696086,0.02420846,True,1,Jack,Jack | the | his | Zach | a,16.4861 | 14.3991 | 13.7805 | 13.4249 | 13.1897
"When Xander and Olivia arrived at the mall, Olivia passed the gift to","When Xander and Bob arrived at the mall, Bob passed the gift to",Xander,Olivia,Bob,ABB,2,the mall,gift,46122,33911,clean,16.367336,12.669855,3.697481,0.35014677,0.0086787,True,1,Xander,Xander | her | the | a | his,16.3673 | 15.5407 | 14.8483 | 14.2361 | 14.2056
"While Wendy and Victor were at the school, Wendy delivered the package to","While Iris and Victor were at the school, Iris delivered the package to",Victor,Wendy,Iris,BAB,5,the school,package,12622,28314,clean,15.423316,13.151334,2.271982,0.24988918,0.02576547,True,1,Victor,Victor | her | the | a | their,15.4233 | 15.0781 | 14.9133 | 13.6353 | 13.4531
"Once Tara and Iris were at the station, Tara brought the package to","Once Uma and Iris were at the station, Uma brought the package to",Iris,Tara,Uma,BAB,4,the station,package,34230,37723,clean,14.166384,12.828238,1.338146,0.07070524,0.01854821,True,3,her,her | the | Iris | them | Tara,15.4125 | 15.2486 | 14.1664 | 13.6341 | 12.8282
"Once Emma and Gina were at the hospital, Gina brought the package to","Once Emma and Henry were at the hospital, Henry brought the package to",Emma,Gina,Henry,ABB,4,the hospital,package,18966,43002,clean,15.271546,13.347496,1.92405,0.12976947,0.01894821,True,2,her,her | Emma | the | them | Gina,15.9363 | 15.2715 | 15.2480 | 14.2404 | 13.3475
"After Uma and Derek left the school, Derek sent the package to","After Uma and Clara left the school, Clara sent the package to",Uma,Derek,Clara,ABB,3,the school,package,471,20893,clean,14.516176,13.792777,0.723399,0.13489521,0.06543773,True,2,his,his | U | the | Derek | her,14.7500 | 14.5162 | 14.0184 | 13.7928 | 13.3860
"After Gina and Liam left the store, Gina sent the note to","After Henry and Liam left the store, Henry sent the note to",Liam,Gina,Henry,BAB,3,the store,note,31684,43002,clean,15.78678,11.470469,4.316312,0.37108636,0.00495364,True,1,Liam,Liam | her | the | their | them,15.7868 | 14.7961 | 14.0390 | 13.0913 | 13.0734
"As Mia and David walked through the theater, Mia offered the letter to","As Rose and David walked through the theater, Rose offered the letter to",David,Mia,Rose,BAB,6,the theater,letter,3271,32189,clean,15.394669,13.380828,2.013841,0.26106548,0.03484573,True,1,David,David | the | her | Mia | a,15.3947 | 14.5844 | 14.5126 | 13.3808 | 13.2707
"Once Jack and Derek were at the museum, Derek brought the note to","Once Jack and David were at the museum, David brought the note to",Jack,Derek,David,ABB,4,the museum,note,3619,20893,clean,16.114922,13.017611,3.097311,0.32341406,0.01460878,True,1,Jack,Jack | the | them | his | him,16.1149 | 14.6601 | 14.5893 | 14.4189 | 14.0933
"When Derek and Victor arrived at the restaurant, Victor passed the jacket to","When Derek and Kate arrived at the restaurant, Kate passed the jacket to",Derek,Victor,Kate,ABB,2,the restaurant,jacket,20893,12622,clean,15.850052,13.050021,2.800031,0.3916474,0.02381537,True,1,Derek,Derek | the | his | a | Victor,15.8501 | 14.3858 | 14.0898 | 13.5313 | 13.0500
"When Clara and Wendy went to the station, Clara gave the note to","When Mia and Wendy went to the station, Mia gave the note to",Wendy,Clara,Mia,BAB,0,the station,note,28314,27443,clean,17.363985,12.623549,4.740437,0.69720906,0.00609,True,1,Wendy,Wendy | the | her | a | them,17.3640 | 14.8660 | 14.8436 | 13.1051 | 12.6983
"When Olivia and Grace arrived at the station, Olivia passed the ticket to","When Iris and Grace arrived at the station, Iris passed the ticket to",Grace,Olivia,Iris,BAB,2,the station,ticket,16156,33911,clean,12.392106,11.290241,1.101865,0.02539156,0.00843637,True,4,the,the | her | a | Grace | them,14.4678 | 13.9027 | 13.3799 | 12.3921 | 12.3079
"When Uma and Isla visited the library, Isla handed the package to","When Uma and Frank visited the library, Frank handed the package to",Uma,Isla,Frank,ABB,1,the library,package,471,1148,clean,15.544646,14.42965,1.114996,0.2760841,0.09053256,True,1,U,U | her | Is | the | them,15.5446 | 14.6359 | 14.4297 | 14.3299 | 13.3686
"When Amy and Sam went to the cafe, Amy gave the jacket to","When Frank and Sam went to the cafe, Frank gave the jacket to",Sam,Amy,Frank,BAB,0,the cafe,jacket,3409,14235,clean,17.74291,13.881042,3.861869,0.64428043,0.01354836,True,1,Sam,Sam | her | the | a | them,17.7429 | 15.4912 | 15.2611 | 14.5919 | 14.4962
"When Harry and Carol arrived at the market, Harry passed the phone to","When Henry and Carol arrived at the market, Henry passed the phone to",Carol,Harry,Henry,BAB,2,the market,phone,5074,5850,clean,16.024857,11.181002,4.843855,0.43938369,0.00346086,True,1,Carol,Carol | his | the | a | her,16.0249 | 14.3264 | 14.2712 | 13.6426 | 12.9150
"While Rose and Harry were at the office, Harry delivered the key to","While Rose and Fred were at the office, Fred delivered the key to",Rose,Harry,Fred,ABB,5,the office,key,8049,5850,clean,13.497738,13.753054,-0.255316,0.03634249,0.0469134,False,4,the,the | his | Harry | Rose | Hermione,15.9094 | 14.4500 | 13.7531 | 13.4977 | 13.2028
"After Victor and Isla left the store, Isla sent the package to","After Victor and Derek left the store, Derek sent the package to",Victor,Isla,Derek,ABB,3,the store,package,12622,1148,clean,15.860548,12.17078,3.689768,0.43229684,0.01079782,True,1,Victor,Victor | the | her | his | him,15.8605 | 14.0351 | 13.6697 | 13.3438 | 12.7347
"When Frank and Yara went to the gym, Frank gave the bag to","When Grace and Yara went to the gym, Grace gave the bag to",Yara,Frank,Grace,BAB,0,the gym,bag,575,5278,clean,16.176834,11.778438,4.398396,0.42763901,0.0052587,True,1,Y,Y | the | them | his | a,16.1768 | 14.5369 | 14.2417 | 13.9968 | 13.5777
"When Olivia and Alice visited the store, Olivia handed the ticket to","When Frank and Alice visited the store, Frank handed the ticket to",Alice,Olivia,Frank,BAB,1,the store,ticket,14862,33911,clean,16.700651,11.945312,4.755339,0.46351492,0.00398884,True,1,Alice,Alice | her | the | them | a,16.7007 | 15.2772 | 15.2536 | 14.0158 | 13.7852
"While Isla and Gina were at the park, Isla delivered the wallet to","While Uma and Gina were at the park, Uma delivered the wallet to",Gina,Isla,Uma,BAB,5,the park,wallet,43002,1148,clean,16.536861,12.778624,3.758238,0.61607981,0.01436994,True,1,Gina,Gina | the | her | a | his,16.5369 | 14.5358 | 14.3214 | 13.1833 | 12.7862
"After Yara and Victor left the cafe, Victor sent the bag to","After Yara and Bob left the cafe, Bob sent the bag to",Yara,Victor,Bob,ABB,3,the cafe,bag,575,12622,clean,14.641311,14.016632,0.624679,0.16375117,0.08767786,True,1,Y,Y | the | Victor | his | her,14.6413 | 14.2442 | 14.0166 | 13.6463 | 13.5568
"After Zach and Rose left the hospital, Zach sent the wallet to","After Noah and Rose left the hospital, Noah sent the wallet to",Rose,Zach,Noah,BAB,3,the hospital,wallet,8049,18825,clean,14.828669,11.957053,2.871615,0.20383057,0.01153832,True,1,Rose,Rose | his | the | her | a,14.8287 | 14.7418 | 14.1955 | 13.1420 | 12.8462
"When Noah and Victor visited the office, Victor handed the letter to","When Noah and Fred visited the office, Fred handed the letter to",Noah,Victor,Fred,ABB,1,the office,letter,18394,12622,clean,17.211908,11.732246,5.479662,0.79584527,0.00331926,True,1,Noah,Noah | the | his | him | a,17.2119 | 14.0879 | 12.8921 | 12.5409 | 12.4986
"When Wendy and Frank visited the school, Wendy handed the bag to","When Olivia and Frank visited the school, Olivia handed the bag to",Frank,Wendy,Olivia,BAB,1,the school,bag,5278,28314,clean,16.471096,13.115901,3.355195,0.38255662,0.01335221,True,1,Frank,Frank | her | the | them | their,16.4711 | 15.5184 | 15.4167 | 14.3953 | 14.1712
"While Sam and Xander were at the park, Sam delivered the ticket to","While Tara and Xander were at the park, Tara delivered the ticket to",Xander,Sam,Tara,BAB,5,the park,ticket,46122,3409,clean,14.653195,12.307859,2.345336,0.13579091,0.01301081,True,2,the,the | Xander | his | a | their,15.1256 | 14.6532 | 14.1255 | 13.5185 | 12.6246
"When Gina and Yara visited the park, Gina handed the map to","When Tara and Yara visited the park, Tara handed the map to",Yara,Gina,Tara,BAB,1,the park,map,575,43002,clean,15.648911,11.504793,4.144117,0.2588124,0.0041041,True,1,Y,Y | her | the | them | a,15.6489 | 15.0988 | 14.9023 | 14.6057 | 12.9602
"As Jack and Emma walked through the restaurant, Emma offered the bag to","As Jack and Ella walked through the restaurant, Ella offered the bag to",Jack,Emma,Ella,ABB,6,the restaurant,bag,3619,18966,clean,17.744953,12.84864,4.896313,0.68454355,0.00511634,True,1,Jack,Jack | the | her | them | him,17.7450 | 14.9968 | 14.8938 | 14.8628 | 14.0430
"After Frank and Quinn left the library, Frank sent the bag to","After Isla and Quinn left the library, Isla sent the bag to",Quinn,Frank,Isla,BAB,3,the library,bag,16109,5278,clean,14.485252,12.61706,1.868193,0.1873723,0.02893074,True,1,Quinn,Quinn | the | his | a | Frank,14.4853 | 13.8946 | 13.6299 | 12.9066 | 12.6171
"After Alice and Iris left the gym, Alice sent the card to","After Kate and Iris left the gym, Kate sent the card to",Iris,Alice,Kate,BAB,3,the gym,card,34230,14862,clean,16.23196,12.646705,3.585256,0.51246858,0.01421054,True,1,Iris,Iris | her | the | Alice | a,16.2320 | 14.9873 | 13.8801 | 12.6467 | 11.7684
"After David and Kate left the market, Kate sent the ticket to","After David and Clara left the market, Clara sent the ticket to",David,Kate,Clara,ABB,3,the market,ticket,3271,16693,clean,13.359787,11.514452,1.845335,0.05762945,0.00910386,True,3,the,the | her | David | a | their,14.1721 | 14.0777 | 13.3598 | 13.0710 | 12.2078
"When Rose and Ella went to the gym, Rose gave the map to","When Xander and Ella went to the gym, Xander gave the map to",Ella,Rose,Xander,BAB,0,the gym,map,7122,8049,clean,16.216394,12.601233,3.615162,0.4891291,0.01316372,True,1,Ell,Ell | her | the | them | Rose,16.2164 | 14.7187 | 14.4605 | 13.8644 | 12.6012
"Once Frank and Rose were at the beach, Frank brought the pen to","Once Paul and Rose were at the beach, Paul brought the pen to",Rose,Frank,Paul,BAB,4,the beach,pen,8049,5278,clean,15.506324,12.709217,2.797107,0.23796856,0.01451281,True,1,Rose,Rose | the | his | her | him,15.5063 | 15.0171 | 14.8792 | 13.7810 | 13.6268
"Once Tara and Quinn were at the mall, Quinn brought the ticket to","Once Tara and Xander were at the mall, Xander brought the ticket to",Tara,Quinn,Xander,ABB,4,the mall,ticket,37723,16109,clean,13.872751,12.117437,1.755314,0.06119633,0.01057797,True,3,the,the | her | Tara | them | their,15.3028 | 14.6230 | 13.8728 | 13.2930 | 12.7837
"As Victor and Uma walked through the library, Uma offered the bag to","As Victor and Grace walked through the library, Grace offered the bag to",Victor,Uma,Grace,ABB,6,the library,bag,12622,471,clean,16.916485,14.758713,2.157772,0.60458189,0.069879,True,1,Victor,Victor | U | the | her | them,16.9165 | 14.7587 | 14.2339 | 14.0530 | 13.7521
"As Grace and Jack walked through the hospital, Grace offered the trophy to","As Sam and Jack walked through the hospital, Sam offered the trophy to",Jack,Grace,Sam,BAB,6,the hospital,trophy,3619,16156,clean,15.828924,11.875761,3.953163,0.34467676,0.00661569,True,1,Jack,Jack | the | her | them | a,15.8289 | 14.7155 | 14.5860 | 13.4334 | 13.3315
"While Rose and Noah were at the school, Rose delivered the trophy to","While Liam and Noah were at the school, Liam delivered the trophy to",Noah,Rose,Liam,BAB,5,the school,trophy,18394,8049,clean,15.842297,12.004772,3.837524,0.50520617,0.01088561,True,1,Noah,Noah | the | his | her | a,15.8423 | 14.1689 | 13.3918 | 13.1692 | 13.0773
"Once Brian and Frank were at the restaurant, Frank brought the bag to","Once Brian and Liam were at the restaurant, Liam brought the bag to",Brian,Frank,Liam,ABB,4,the restaurant,bag,8403,5278,clean,14.228815,13.231245,0.99757,0.06634197,0.02446523,True,3,the,the | them | Brian | his | me,15.0916 | 14.3189 | 14.2288 | 14.0259 | 13.9623
"As Sam and Frank walked through the park, Frank offered the note to","As Sam and Olivia walked through the park, Olivia offered the note to",Sam,Frank,Olivia,ABB,6,the park,note,3409,5278,clean,16.465103,13.456888,3.008215,0.46158838,0.02279312,True,1,Sam,Sam | the | his | them | Frank,16.4651 | 14.7533 | 14.1744 | 13.6794 | 13.4569
"As Yara and Zach walked through the theater, Zach offered the letter to","As Yara and Wendy walked through the theater, Wendy offered the letter to",Yara,Zach,Wendy,ABB,6,the theater,letter,575,18825,clean,15.428705,13.51495,1.913755,0.31196102,0.04602215,True,1,Y,Y | the | his | Zach | her,15.4287 | 14.2798 | 13.6956 | 13.5149 | 12.7778
"As Jack and Yara walked through the store, Jack offered the card to","As Liam and Yara walked through the store, Liam offered the card to",Yara,Jack,Liam,BAB,6,the store,card,575,3619,clean,15.901931,12.60468,3.297251,0.35153249,0.01300133,True,1,Y,Y | the | them | his | a,15.9019 | 14.7600 | 14.0631 | 13.8961 | 13.6684
"After Iris and Mia left the park, Iris sent the phone to","After Carol and Mia left the park, Carol sent the phone to",Mia,Iris,Carol,BAB,3,the park,phone,32189,34230,clean,13.374373,13.389574,-0.015201,0.08215117,0.08340946,False,4,her,her | the | Iris | Mia | a,13.9402 | 13.7814 | 13.3896 | 13.3744 | 11.8496
"When Liam and Jack arrived at the library, Liam passed the jacket to","When Gina and Jack arrived at the library, Gina passed the jacket to",Jack,Liam,Gina,BAB,2,the library,jacket,3619,31684,clean,16.110149,12.053015,4.057135,0.30662754,0.0053042,True,1,Jack,Jack | the | his | them | a,16.1101 | 15.1111 | 14.9474 | 14.6238 | 14.3102
"Once Rose and Uma were at the school, Rose brought the gift to","Once Amy and Uma were at the school, Amy brought the gift to",Uma,Rose,Amy,BAB,4,the school,gift,471,8049,clean,15.138535,12.800276,2.338259,0.19680753,0.01899104,True,2,her,her | U | the | them | Rose,15.3964 | 15.1385 | 14.6287 | 13.2406 | 12.8003
"When Sam and Iris went to the cafe, Iris gave the book to","When Sam and Fred went to the cafe, Fred gave the book to",Sam,Iris,Fred,ABB,0,the cafe,book,3409,34230,clean,15.647264,12.438949,3.208315,0.31666157,0.01280094,True,1,Sam,Sam | them | her | the | a,15.6473 | 14.3407 | 14.3148 | 14.3029 | 13.3063
"While Fred and Frank were at the library, Fred delivered the bag to","While Victor and Frank were at the library, Victor delivered the bag to",Frank,Fred,Victor,BAB,5,the library,bag,5278,8559,clean,15.288069,13.333947,1.954122,0.21503709,0.03046837,True,1,Frank,Frank | the | his | a | Fred,15.2881 | 14.7929 | 14.6523 | 14.0315 | 13.3339
"As Gina and Carol walked through the beach, Gina offered the phone to","As Harry and Carol walked through the beach, Harry offered the phone to",Carol,Gina,Harry,BAB,6,the beach,phone,5074,43002,clean,16.121731,13.480091,2.64164,0.33959448,0.02419419,True,1,Carol,Carol | her | the | Gina | me,16.1217 | 15.2341 | 14.5547 | 13.4801 | 13.3765
"When Mia and Gina arrived at the school, Mia passed the book to","When Zach and Gina arrived at the school, Zach passed the book to",Gina,Mia,Zach,BAB,2,the school,book,43002,32189,clean,15.791868,12.96947,2.822398,0.27104577,0.01611724,True,1,Gina,Gina | her | the | a | Mia,15.7919 | 15.6354 | 14.8038 | 14.4706 | 12.9695
"When Ella and David arrived at the theater, Ella passed the pen to","When Harry and David arrived at the theater, Harry passed the pen to",David,Ella,Harry,BAB,2,the theater,pen,3271,7122,clean,15.964149,10.791367,5.172783,0.36711094,0.00208107,True,1,David,David | her | the | a | his,15.9641 | 15.0918 | 14.4704 | 13.8894 | 13.2009
"Once Ella and Clara were at the beach, Clara brought the gift to","Once Ella and Xander were at the beach, Xander brought the gift to",Ella,Clara,Xander,ABB,4,the beach,gift,7122,27443,clean,14.760429,13.750097,1.010332,0.11965793,0.04356722,True,2,her,her | Ell | the | Clara | them,15.1341 | 14.7604 | 14.5936 | 13.7501 | 12.9085
"While David and Kate were at the restaurant, David delivered the jacket to","While Zach and Kate were at the restaurant, Zach delivered the jacket to",Kate,David,Zach,BAB,5,the restaurant,jacket,16693,3271,clean,16.203775,12.632076,3.571699,0.35999241,0.01011869,True,1,Kate,Kate | his | the | a | her,16.2038 | 14.8957 | 14.8914 | 14.4269 | 14.0958
"While Kate and Wendy were at the cafe, Kate delivered the jacket to","While Quinn and Wendy were at the cafe, Quinn delivered the jacket to",Wendy,Kate,Quinn,BAB,5,the cafe,jacket,28314,16693,clean,16.105291,12.72818,3.377111,0.39994818,0.01365661,True,1,Wendy,Wendy | her | the | a | Kate,16.1053 | 15.1458 | 14.6301 | 13.8890 | 12.7282
"When Iris and Quinn arrived at the park, Quinn passed the book to","When Iris and Sam arrived at the park, Sam passed the book to",Iris,Quinn,Sam,ABB,2,the park,book,34230,16109,clean,16.842138,13.145824,3.696314,0.66134065,0.01641105,True,1,Iris,Iris | her | the | Quinn | a,16.8421 | 14.6305 | 14.0750 | 13.1458 | 13.1059
"As Olivia and Henry walked through the library, Henry offered the package to","As Olivia and Mia walked through the library, Mia offered the package to",Olivia,Henry,Mia,ABB,6,the library,package,33911,8616,clean,16.754387,13.408197,3.346189,0.45457634,0.01600941,True,1,Olivia,Olivia | her | the | them | his,16.7544 | 15.2192 | 14.6999 | 14.5991 | 14.1134
"As Zach and Harry walked through the cafe, Zach offered the bag to","As Wendy and Harry walked through the cafe, Wendy offered the bag to",Harry,Zach,Wendy,BAB,6,the cafe,bag,5850,18825,clean,17.388556,9.786572,7.601983,0.69675589,0.000348,True,1,Harry,Harry | the | his | a | them,17.3886 | 15.0276 | 14.3213 | 13.7679 | 13.4032
"When Ella and Fred went to the theater, Ella gave the note to","When Tara and Fred went to the theater, Tara gave the note to",Fred,Ella,Tara,BAB,0,the theater,note,8559,7122,clean,16.812548,11.427208,5.38534,0.57668203,0.0026431,True,1,Fred,Fred | the | her | a | their,16.8125 | 14.9100 | 14.5906 | 13.2275 | 12.9205
"Once Xander and Zach were at the office, Xander brought the pen to","Once Henry and Zach were at the office, Henry brought the pen to",Zach,Xander,Henry,BAB,4,the office,pen,18825,46122,clean,13.974847,14.194797,-0.21995,0.02449637,0.03052283,False,6,his,his | the | him | her | Xander,16.7873 | 15.7576 | 15.1738 | 14.2760 | 14.1948
"While Xander and Emma were at the gym, Emma delivered the book to","While Xander and Gina were at the gym, Gina delivered the book to",Xander,Emma,Gina,ABB,5,the gym,book,46122,18966,clean,16.26705,14.112015,2.155035,0.3229571,0.03743045,True,1,Xander,Xander | her | the | Emma | him,16.2670 | 15.3698 | 14.8849 | 14.1120 | 13.9164
