prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id,prompt_type,logit_io,logit_s,logit_diff,prob_io,prob_s,is_correct,rank_io,top_1_prediction,top_k_predictions,top_k_logits
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616,corrupted,15.394979,8.841785,6.553194,0.22920315,0.00032674,True,1,David,David | the | his | a | Harry,15.3950 | 15.0127 | 14.5695 | 13.7033 | 13.4761
"When Alice and Fred went to the cafe, Alice gave the ticket to","When Isla and Fred went to the cafe, Isla gave the ticket to",Fred,Alice,Isla,BAB,0,the cafe,ticket,8559,14862,corrupted,17.724997,8.836202,8.888795,0.8536455,0.00011774,True,1,Fred,Fred | the | a | his | them,17.7250 | 14.6890 | 13.0705 | 13.0701 | 12.5962
"After David and Sam left the museum, David sent the wallet to","After Yara and Sam left the museum, Yara sent the wallet to",Sam,David,Yara,BAB,3,the museum,wallet,3409,3271,corrupted,13.970934,8.469943,5.500991,0.12543195,0.0005121,True,2,the,the | Sam | her | Y | his,14.0861 | 13.9709 | 13.5093 | 13.2922 | 12.9959
"As Isla and Rose walked through the office, Isla offered the pen to","As David and Rose walked through the office, David offered the pen to",Rose,Isla,David,BAB,6,the office,pen,8049,1148,corrupted,15.593239,6.380202,9.213037,0.30452862,3.037e-05,True,1,Rose,Rose | his | the | a | David,15.5932 | 14.9049 | 14.3800 | 13.3898 | 13.2436
"After Liam and David left the gym, David sent the package to","After Liam and Quinn left the gym, Quinn sent the package to",Liam,David,Quinn,ABB,3,the gym,package,31684,3271,corrupted,15.1472,9.015027,6.132173,0.26531553,0.00057623,True,1,Liam,Liam | her | the | his | Quinn,15.1472 | 14.0319 | 13.8157 | 13.4175 | 13.3494
"When Ella and Noah visited the store, Ella handed the book to","When Victor and Noah visited the store, Victor handed the book to",Noah,Ella,Victor,BAB,1,the store,book,18394,7122,corrupted,18.320364,6.622731,11.697633,0.90491784,7.52e-06,True,1,Noah,Noah | the | his | him | a,18.3204 | 14.6443 | 13.9549 | 13.7385 | 13.2196
"While Liam and Isla were at the market, Liam delivered the jacket to","While Bob and Isla were at the market, Bob delivered the jacket to",Isla,Liam,Bob,BAB,5,the market,jacket,1148,31684,corrupted,15.83585,6.78446,9.05139,0.43371341,5.084e-05,True,1,Is,Is | the | his | Bob | a,15.8358 | 14.0712 | 13.8243 | 13.3061 | 13.2281
"When Quinn and Rose visited the library, Quinn handed the card to","When Tara and Rose visited the library, Tara handed the card to",Rose,Quinn,Tara,BAB,1,the library,card,8049,16109,corrupted,16.119162,8.634917,7.484244,0.2936281,0.00016498,True,1,Rose,Rose | her | the | a | them,16.1192 | 15.8202 | 15.3567 | 13.8008 | 13.5451
"After Amy and Wendy left the school, Amy sent the ticket to","After Quinn and Wendy left the school, Quinn sent the ticket to",Wendy,Amy,Quinn,BAB,3,the school,ticket,28314,14235,corrupted,15.834253,9.579443,6.25481,0.39720696,0.00076311,True,1,Wendy,Wendy | her | the | a | Quinn,15.8343 | 14.6199 | 14.3696 | 13.0200 | 12.9646
"When Jack and Zach visited the station, Zach handed the phone to","When Jack and Emma visited the station, Emma handed the phone to",Jack,Zach,Emma,ABB,1,the station,phone,3619,18825,corrupted,17.336548,9.821042,7.515506,0.6512183,0.00035464,True,1,Jack,Jack | the | her | him | them,17.3365 | 14.7702 | 14.5634 | 13.9717 | 13.9431
"When Xander and Olivia arrived at the mall, Olivia passed the gift to","When Xander and Bob arrived at the mall, Bob passed the gift to",Xander,Olivia,Bob,ABB,2,the mall,gift,46122,33911,corrupted,16.502932,11.101406,5.401525,0.36684042,0.00165434,True,1,Xander,Xander | his | the | a | them,16.5029 | 15.2605 | 14.9526 | 14.4402 | 14.1411
"While Wendy and Victor were at the school, Wendy delivered the package to","While Iris and Victor were at the school, Iris delivered the package to",Victor,Wendy,Iris,BAB,5,the school,package,12622,28314,corrupted,16.079914,7.636601,8.443313,0.51219064,0.00011029,True,1,Victor,Victor | the | her | them | a,16.0799 | 14.4049 | 14.3041 | 12.7380 | 12.5565
"Once Tara and Iris were at the station, Tara brought the package to","Once Uma and Iris were at the station, Uma brought the package to",Iris,Tara,Uma,BAB,4,the station,package,34230,37723,corrupted,14.696866,7.101213,7.595654,0.17499104,8.796e-05,True,2,her,her | Iris | the | him | them,14.7359 | 14.6969 | 14.5494 | 12.9788 | 12.8243
"Once Emma and Gina were at the hospital, Gina brought the package to","Once Emma and Henry were at the hospital, Henry brought the package to",Emma,Gina,Henry,ABB,4,the hospital,package,18966,43002,corrupted,16.510445,6.923669,9.586775,0.337751,2.318e-05,True,1,Emma,Emma | the | her | them | his,16.5104 | 15.4009 | 15.3721 | 14.6219 | 14.4210
"After Uma and Derek left the school, Derek sent the package to","After Uma and Clara left the school, Clara sent the package to",Uma,Derek,Clara,ABB,3,the school,package,471,20893,corrupted,14.114405,6.722166,7.392239,0.09969646,6.141e-05,True,2,her,her | U | the | Clara | a,14.6704 | 14.1144 | 14.0141 | 13.1317 | 12.4144
"After Gina and Liam left the store, Gina sent the note to","After Henry and Liam left the store, Henry sent the note to",Liam,Gina,Henry,BAB,3,the store,note,31684,43002,corrupted,15.183294,6.63094,8.552354,0.27753448,5.359e-05,True,1,Liam,Liam | his | the | a | their,15.1833 | 14.5302 | 14.0445 | 12.5116 | 12.4468
"As Mia and David walked through the theater, Mia offered the letter to","As Rose and David walked through the theater, Rose offered the letter to",David,Mia,Rose,BAB,6,the theater,letter,3271,32189,corrupted,15.626109,8.449205,7.176904,0.35502654,0.00027125,True,1,David,David | the | her | a | his,15.6261 | 14.4817 | 14.2291 | 13.1914 | 13.1086
"Once Jack and Derek were at the museum, Derek brought the note to","Once Jack and David were at the museum, David brought the note to",Jack,Derek,David,ABB,4,the museum,note,3619,20893,corrupted,15.892015,8.96752,6.924496,0.24167475,0.00023766,True,1,Jack,Jack | his | the | them | him,15.8920 | 14.6616 | 14.6605 | 14.5824 | 14.5719
"When Derek and Victor arrived at the restaurant, Victor passed the jacket to","When Derek and Kate arrived at the restaurant, Kate passed the jacket to",Derek,Victor,Kate,ABB,2,the restaurant,jacket,20893,12622,corrupted,16.378305,7.46092,8.917386,0.52147454,6.99e-05,True,1,Derek,Derek | the | her | a | his,16.3783 | 14.4824 | 14.2130 | 14.0284 | 12.9792
"When Clara and Wendy went to the station, Clara gave the note to","When Mia and Wendy went to the station, Mia gave the note to",Wendy,Clara,Mia,BAB,0,the station,note,28314,27443,corrupted,16.321173,7.083603,9.237569,0.47200629,4.593e-05,True,1,Wendy,Wendy | the | her | a | Mia,16.3212 | 14.8876 | 14.5544 | 13.4117 | 12.9194
"When Olivia and Grace arrived at the station, Olivia passed the ticket to","When Iris and Grace arrived at the station, Iris passed the ticket to",Grace,Olivia,Iris,BAB,2,the station,ticket,16156,33911,corrupted,14.072357,8.153237,5.91912,0.15459578,0.00041549,True,2,the,the | Grace | her | them | a,14.1118 | 14.0724 | 13.9054 | 13.1174 | 12.5563
"When Uma and Isla visited the library, Isla handed the package to","When Uma and Frank visited the library, Frank handed the package to",Uma,Isla,Frank,ABB,1,the library,package,471,1148,corrupted,16.035061,9.095634,6.939427,0.31375009,0.00030397,True,1,U,U | the | her | them | a,16.0351 | 14.7155 | 14.4484 | 14.1610 | 13.8651
"When Amy and Sam went to the cafe, Amy gave the jacket to","When Frank and Sam went to the cafe, Frank gave the jacket to",Sam,Amy,Frank,BAB,0,the cafe,jacket,3409,14235,corrupted,17.072573,9.803058,7.269515,0.57116759,0.00039779,True,1,Sam,Sam | the | a | his | them,17.0726 | 15.0420 | 14.3996 | 14.3442 | 13.8624
"When Harry and Carol arrived at the market, Harry passed the phone to","When Henry and Carol arrived at the market, Henry passed the phone to",Carol,Harry,Henry,BAB,2,the market,phone,5074,5850,corrupted,16.353001,7.96812,8.384881,0.54511064,0.00012445,True,1,Carol,Carol | his | the | a | her,16.3530 | 14.2371 | 14.1928 | 13.6634 | 13.3881
"While Rose and Harry were at the office, Harry delivered the key to","While Rose and Fred were at the office, Fred delivered the key to",Rose,Harry,Fred,ABB,5,the office,key,8049,5850,corrupted,13.622169,10.697067,2.925101,0.07352749,0.00394543,True,2,the,the | Rose | his | her | a,15.2032 | 13.6222 | 13.3305 | 13.0320 | 12.7281
"After Victor and Isla left the store, Isla sent the package to","After Victor and Derek left the store, Derek sent the package to",Victor,Isla,Derek,ABB,3,the store,package,12622,1148,corrupted,15.645823,7.365092,8.280731,0.31343713,7.941e-05,True,1,Victor,Victor | his | the | Derek | him,15.6458 | 14.5834 | 14.2498 | 13.0390 | 13.0228
"When Frank and Yara went to the gym, Frank gave the bag to","When Grace and Yara went to the gym, Grace gave the bag to",Yara,Frank,Grace,BAB,0,the gym,bag,575,5278,corrupted,15.605752,8.589558,7.016194,0.29367977,0.0002635,True,1,Y,Y | her | the | them | a,15.6058 | 14.9944 | 14.4739 | 13.7371 | 13.4937
"When Olivia and Alice visited the store, Olivia handed the ticket to","When Frank and Alice visited the store, Frank handed the ticket to",Alice,Olivia,Frank,BAB,1,the store,ticket,14862,33911,corrupted,18.422546,8.850309,9.572237,0.84989309,5.918e-05,True,1,Alice,Alice | the | them | a | his,18.4225 | 15.1597 | 14.0636 | 13.6361 | 13.5864
"While Isla and Gina were at the park, Isla delivered the wallet to","While Uma and Gina were at the park, Uma delivered the wallet to",Gina,Isla,Uma,BAB,5,the park,wallet,43002,1148,corrupted,15.322504,7.640314,7.68219,0.30963537,0.00014273,True,1,Gina,Gina | her | the | a | his,15.3225 | 14.5186 | 14.4732 | 13.3544 | 12.5415
"After Yara and Victor left the cafe, Victor sent the bag to","After Yara and Bob left the cafe, Bob sent the bag to",Yara,Victor,Bob,ABB,3,the cafe,bag,575,12622,corrupted,14.584044,8.533113,6.050931,0.15072244,0.00035505,True,1,Y,Y | the | his | Bob | her,14.5840 | 14.2621 | 13.8341 | 13.6694 | 13.4066
"After Zach and Rose left the hospital, Zach sent the wallet to","After Noah and Rose left the hospital, Noah sent the wallet to",Rose,Zach,Noah,BAB,3,the hospital,wallet,8049,18825,corrupted,15.756922,7.628197,8.128725,0.39475858,0.00011643,True,1,Rose,Rose | his | the | her | a,15.7569 | 14.7535 | 14.3757 | 13.2744 | 12.7882
"When Noah and Victor visited the office, Victor handed the letter to","When Noah and Fred visited the office, Fred handed the letter to",Noah,Victor,Fred,ABB,1,the office,letter,18394,12622,corrupted,16.514429,7.835343,8.679086,0.57724124,9.819e-05,True,1,Noah,Noah | the | his | a | them,16.5144 | 14.5076 | 13.2446 | 13.0519 | 13.0133
"When Wendy and Frank visited the school, Wendy handed the bag to","When Olivia and Frank visited the school, Olivia handed the bag to",Frank,Wendy,Olivia,BAB,1,the school,bag,5278,28314,corrupted,16.083174,8.865139,7.218035,0.27296966,0.00020015,True,1,Frank,Frank | her | the | them | a,16.0832 | 15.6661 | 15.4417 | 14.5124 | 13.7410
"While Sam and Xander were at the park, Sam delivered the ticket to","While Tara and Xander were at the park, Tara delivered the ticket to",Xander,Sam,Tara,BAB,5,the park,ticket,46122,3409,corrupted,15.240424,9.706597,5.533827,0.20108803,0.00079447,True,1,Xander,Xander | the | her | a | their,15.2404 | 15.2402 | 14.3019 | 13.2064 | 12.8779
"When Gina and Yara visited the park, Gina handed the map to","When Tara and Yara visited the park, Tara handed the map to",Yara,Gina,Tara,BAB,1,the park,map,575,43002,corrupted,15.748533,7.615608,8.132926,0.23698957,6.961e-05,True,1,Y,Y | her | the | them | a,15.7485 | 15.4090 | 15.1093 | 14.9496 | 13.0191
"As Jack and Emma walked through the restaurant, Emma offered the bag to","As Jack and Ella walked through the restaurant, Ella offered the bag to",Jack,Emma,Ella,ABB,6,the restaurant,bag,3619,18966,corrupted,17.539879,8.877107,8.662772,0.70580125,0.00012204,True,1,Jack,Jack | the | her | them | him,17.5399 | 14.6795 | 14.3131 | 14.3123 | 13.7649
"After Frank and Quinn left the library, Frank sent the bag to","After Isla and Quinn left the library, Isla sent the bag to",Quinn,Frank,Isla,BAB,3,the library,bag,16109,5278,corrupted,15.090396,8.259506,6.83089,0.34767926,0.00037546,True,1,Quinn,Quinn | the | her | a | his,15.0904 | 13.7817 | 13.6832 | 12.4991 | 12.4015
"After Alice and Iris left the gym, Alice sent the card to","After Kate and Iris left the gym, Kate sent the card to",Iris,Alice,Kate,BAB,3,the gym,card,34230,14862,corrupted,15.933794,8.37513,7.558664,0.45644721,0.00023807,True,1,Iris,Iris | her | the | a | Kate,15.9338 | 14.9607 | 13.6888 | 12.0719 | 11.8625
"After David and Kate left the market, Kate sent the ticket to","After David and Clara left the market, Clara sent the ticket to",David,Kate,Clara,ABB,3,the market,ticket,3271,16693,corrupted,14.113134,8.342034,5.7711,0.10007956,0.00031188,True,2,the,the | David | her | a | Clara,14.1878 | 14.1131 | 13.7297 | 12.6036 | 12.4384
"When Rose and Ella went to the gym, Rose gave the map to","When Xander and Ella went to the gym, Xander gave the map to",Ella,Rose,Xander,BAB,0,the gym,map,7122,8049,corrupted,16.35758,9.973805,6.383775,0.34827065,0.00058814,True,1,Ell,Ell | the | them | Xander | his,16.3576 | 15.1145 | 14.8983 | 14.5955 | 14.2059
"Once Frank and Rose were at the beach, Frank brought the pen to","Once Paul and Rose were at the beach, Paul brought the pen to",Rose,Frank,Paul,BAB,4,the beach,pen,8049,5278,corrupted,15.376203,9.502838,5.873364,0.17060015,0.00047997,True,2,his,his | Rose | the | her | him,15.4995 | 15.3762 | 15.2579 | 14.7233 | 14.0691
"Once Tara and Quinn were at the mall, Quinn brought the ticket to","Once Tara and Xander were at the mall, Xander brought the ticket to",Tara,Quinn,Xander,ABB,4,the mall,ticket,37723,16109,corrupted,14.257029,8.918014,5.339015,0.05454568,0.00026185,True,4,the,the | her | them | Tara | his,15.8069 | 15.1221 | 14.6957 | 14.2570 | 13.8673
"As Victor and Uma walked through the library, Uma offered the bag to","As Victor and Grace walked through the library, Grace offered the bag to",Victor,Uma,Grace,ABB,6,the library,bag,12622,471,corrupted,17.499441,7.554941,9.9445,0.73399806,3.523e-05,True,1,Victor,Victor | the | them | her | him,17.4994 | 14.6371 | 13.9582 | 13.8835 | 13.3753
"As Grace and Jack walked through the hospital, Grace offered the trophy to","As Sam and Jack walked through the hospital, Sam offered the trophy to",Jack,Grace,Sam,BAB,6,the hospital,trophy,3619,16156,corrupted,16.843845,8.728415,8.115431,0.55643272,0.00016631,True,1,Jack,Jack | the | his | Sam | them,16.8438 | 14.8726 | 14.5330 | 13.5688 | 13.5211
"While Rose and Noah were at the school, Rose delivered the trophy to","While Liam and Noah were at the school, Liam delivered the trophy to",Noah,Rose,Liam,BAB,5,the school,trophy,18394,8049,corrupted,14.902572,7.135638,7.766934,0.25400323,0.00010757,True,1,Noah,Noah | his | the | a | him,14.9026 | 14.2569 | 14.2107 | 13.3438 | 11.9881
"Once Brian and Frank were at the restaurant, Frank brought the bag to","Once Brian and Liam were at the restaurant, Liam brought the bag to",Brian,Frank,Liam,ABB,4,the restaurant,bag,8403,5278,corrupted,15.512153,10.343969,5.168183,0.18869501,0.0010746,True,1,Brian,Brian | the | them | him | his,15.5122 | 14.9644 | 14.4843 | 14.3632 | 14.2539
"As Sam and Frank walked through the park, Frank offered the note to","As Sam and Olivia walked through the park, Olivia offered the note to",Sam,Frank,Olivia,ABB,6,the park,note,3409,5278,corrupted,16.601974,8.649522,7.952453,0.42929843,0.00015103,True,1,Sam,Sam | her | the | them | Dean,16.6020 | 14.9841 | 14.8483 | 13.5420 | 13.4950
"As Yara and Zach walked through the theater, Zach offered the letter to","As Yara and Wendy walked through the theater, Wendy offered the letter to",Yara,Zach,Wendy,ABB,6,the theater,letter,575,18825,corrupted,15.071682,8.165461,6.906221,0.26329121,0.0002637,True,1,Y,Y | the | her | a | Wendy,15.0717 | 14.3838 | 14.0566 | 12.6636 | 12.4290
"As Jack and Yara walked through the store, Jack offered the card to","As Liam and Yara walked through the store, Liam offered the card to",Yara,Jack,Liam,BAB,6,the store,card,575,3619,corrupted,15.889218,8.38728,7.501939,0.33531234,0.0001851,True,1,Y,Y | the | them | a | his,15.8892 | 14.8852 | 14.2493 | 13.8848 | 13.7295
"After Iris and Mia left the park, Iris sent the phone to","After Carol and Mia left the park, Carol sent the phone to",Mia,Iris,Carol,BAB,3,the park,phone,32189,34230,corrupted,13.384912,7.886136,5.498777,0.05174504,0.00021173,True,3,her,her | the | Mia | Carol | a,14.5569 | 14.2155 | 13.3849 | 13.1811 | 13.1423
"When Liam and Jack arrived at the library, Liam passed the jacket to","When Gina and Jack arrived at the library, Gina passed the jacket to",Jack,Liam,Gina,BAB,2,the library,jacket,3619,31684,corrupted,16.802786,8.404391,8.398395,0.49295735,0.00011103,True,1,Jack,Jack | her | the | them | their,16.8028 | 15.1636 | 14.9068 | 14.5548 | 13.8271
"Once Rose and Uma were at the school, Rose brought the gift to","Once Amy and Uma were at the school, Amy brought the gift to",Uma,Rose,Amy,BAB,4,the school,gift,471,8049,corrupted,15.277126,10.666744,4.610382,0.1199116,0.00119288,True,2,her,her | U | the | them | Amy,16.3083 | 15.2771 | 14.9936 | 14.4781 | 14.2807
"When Sam and Iris went to the cafe, Iris gave the book to","When Sam and Fred went to the cafe, Fred gave the book to",Sam,Iris,Fred,ABB,0,the cafe,book,3409,34230,corrupted,16.829847,5.944153,10.885695,0.52246439,9.78e-06,True,1,Sam,Sam | the | a | his | them,16.8298 | 14.7038 | 14.3571 | 14.2008 | 14.1055
"While Fred and Frank were at the library, Fred delivered the bag to","While Victor and Frank were at the library, Victor delivered the bag to",Frank,Fred,Victor,BAB,5,the library,bag,5278,8559,corrupted,15.61756,10.79644,4.82112,0.3195636,0.00257497,True,1,Frank,Frank | the | his | Victor | a,15.6176 | 14.7637 | 14.4652 | 13.4793 | 13.3768
"As Gina and Carol walked through the beach, Gina offered the phone to","As Harry and Carol walked through the beach, Harry offered the phone to",Carol,Gina,Harry,BAB,6,the beach,phone,5074,43002,corrupted,17.363459,9.228106,8.135353,0.60293078,0.00017666,True,1,Carol,Carol | the | his | her | them,17.3635 | 14.7884 | 14.5872 | 14.1746 | 13.5432
"When Mia and Gina arrived at the school, Mia passed the book to","When Zach and Gina arrived at the school, Zach passed the book to",Gina,Mia,Zach,BAB,2,the school,book,43002,32189,corrupted,17.008675,8.096119,8.912556,0.63429356,8.543e-05,True,1,Gina,Gina | the | his | her | a,17.0087 | 14.7465 | 14.4572 | 14.2841 | 14.0553
"When Ella and David arrived at the theater, Ella passed the pen to","When Harry and David arrived at the theater, Harry passed the pen to",David,Ella,Harry,BAB,2,the theater,pen,3271,7122,corrupted,14.845459,6.891379,7.95408,0.13647644,4.793e-05,True,2,his,his | David | the | a | Hermione,15.2882 | 14.8455 | 14.4928 | 14.3360 | 12.8444
"Once Ella and Clara were at the beach, Clara brought the gift to","Once Ella and Xander were at the beach, Xander brought the gift to",Ella,Clara,Xander,ABB,4,the beach,gift,7122,27443,corrupted,15.298927,9.676681,5.622247,0.11512636,0.00041636,True,2,her,her | Ell | the | his | them,15.6239 | 15.2989 | 15.1602 | 14.7727 | 14.6960
"While David and Kate were at the restaurant, David delivered the jacket to","While Zach and Kate were at the restaurant, Zach delivered the jacket to",Kate,David,Zach,BAB,5,the restaurant,jacket,16693,3271,corrupted,16.521847,9.335181,7.186666,0.52297097,0.00039568,True,1,Kate,Kate | the | his | a | their,16.5218 | 14.7407 | 14.3723 | 14.1211 | 13.3470
"While Kate and Wendy were at the cafe, Kate delivered the jacket to","While Quinn and Wendy were at the cafe, Quinn delivered the jacket to",Wendy,Kate,Quinn,BAB,5,the cafe,jacket,28314,16693,corrupted,17.070829,8.757306,8.313523,0.68111783,0.000167,True,1,Wendy,Wendy | her | the | a | his,17.0708 | 14.9231 | 14.6097 | 13.8368 | 13.0063
"When Iris and Quinn arrived at the park, Quinn passed the book to","When Iris and Sam arrived at the park, Sam passed the book to",Iris,Quinn,Sam,ABB,2,the park,book,34230,16109,corrupted,16.793226,6.826365,9.966861,0.51099044,2.398e-05,True,1,Iris,Iris | Sam | the | her | a,16.7932 | 14.9552 | 14.4416 | 14.4233 | 13.9484
"As Olivia and Henry walked through the library, Henry offered the package to","As Olivia and Mia walked through the library, Mia offered the package to",Olivia,Henry,Mia,ABB,6,the library,package,33911,8616,corrupted,15.833254,9.8655,5.967753,0.28159443,0.00072088,True,1,Olivia,Olivia | her | the | Mia | them,15.8333 | 15.4093 | 14.6022 | 13.5334 | 13.4752
"As Zach and Harry walked through the cafe, Zach offered the bag to","As Wendy and Harry walked through the cafe, Wendy offered the bag to",Harry,Zach,Wendy,BAB,6,the cafe,bag,5850,18825,corrupted,17.932304,6.685755,11.246549,0.73191679,9.55e-06,True,1,Harry,Harry | the | her | them | a,17.9323 | 15.3665 | 15.0933 | 14.6955 | 13.6898
"When Ella and Fred went to the theater, Ella gave the note to","When Tara and Fred went to the theater, Tara gave the note to",Fred,Ella,Tara,BAB,0,the theater,note,8559,7122,corrupted,17.14316,7.153088,9.990072,0.63727891,2.922e-05,True,1,Fred,Fred | the | her | a | them,17.1432 | 14.9834 | 14.5881 | 13.4689 | 13.1187
"Once Xander and Zach were at the office, Xander brought the pen to","Once Henry and Zach were at the office, Henry brought the pen to",Zach,Xander,Henry,BAB,4,the office,pen,18825,46122,corrupted,14.801313,9.420724,5.380589,0.10302924,0.00047446,True,3,his,his | the | Zach | him | them,15.6874 | 15.1270 | 14.8013 | 14.3554 | 13.5885
