prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
যেতিয়া ৰাম আৰু গীতা পাৰ্ক গৈছিল, গীতা ৰে কিতাপ দিলে,ৰাম,শ্যাম,গীতা,ABB,0,পাৰ্ক,কিতাপ,220,35178,True,True,True,False,15.213348,16.798691,-1.585342,0.02725822,0.13304636,False,7,ে | � | । | � | া,18.1280 | 16.7987 | 16.4691 | 15.8880 | 15.7121,40,assamese
যেতিয়া দেৱী আৰু মোহন বজাৰ পাইছিল, দেৱী ৰে কলম দিলে,মোহন,সীতা,দেৱী,BAB,1,বজাৰ,কলম,35178,35178,True,True,True,True,16.941799,16.941799,0.0,0.12540282,0.12540282,False,3,"ে | । | � | � | ,",18.2600 | 17.1007 | 16.9418 | 16.6276 | 15.6168,41,assamese
যেতিয়া প্ৰিয়া আৰু ৰবি সংগ্ৰহালয় আহিছিল, প্ৰিয়া ৰে কাৰ্ড পঠালে,ৰবি,ৰাম,প্ৰিয়া,BAB,2,সংগ্ৰহালয়,কাৰ্ড,220,220,True,True,True,True,15.740566,15.740566,0.0,0.04950092,0.04950092,False,5,"ে | � | । | , | ",17.7849 | 17.0504 | 16.9032 | 16.2992 | 15.7406,51,assamese
যেতিয়া ৰোহান আৰু গীতা ষ্টেচন এৰিছিল, ৰোহান ৰে মোনা দি গৈছিল,গীতা,সুনীতা,ৰোহান,BAB,3,ষ্টেচন,মোনা,35178,35178,True,True,True,True,16.50736,16.50736,0.0,0.16753116,0.16753116,False,2,ে | � | । | � | া,17.2395 | 16.5074 | 15.9628 | 15.9564 | 15.7449,44,assamese
যেতিয়া অনিল আৰু কমল কাৰ্যালয় গৈছিল, অনিল ৰে চিঠি দিলে,কমল,বিজয়,অনিল,BAB,0,কাৰ্যালয়,চিঠি,35178,35178,True,True,True,True,16.647396,16.647396,0.0,0.12628785,0.12628785,False,3,ে | । | � | া� | �,18.0548 | 16.9078 | 16.6474 | 15.5168 | 15.3385,43,assamese
যেতিয়া কমল আৰু সীতা ৰেষ্টোৰেঁ পাইছিল, কমল ৰে উপহাৰ দিলে,সীতা,অৰ্জুন,কমল,BAB,1,ৰেষ্টোৰেঁ,উপহাৰ,35178,35178,True,True,True,True,16.717192,16.717192,0.0,0.1154836,0.1154836,False,3,ে | । | � | � | ,18.1673 | 16.9418 | 16.7172 | 15.8275 | 15.5656,46,assamese
যেতিয়া মোহন আৰু নীতা পাৰ্ক আহিছিল, মোহন ৰে কিতাপ পঠালে,নীতা,প্ৰিয়া,মোহন,BAB,2,পাৰ্ক,কিতাপ,35178,35178,True,True,True,True,17.538586,17.538586,0.0,0.28726837,0.28726837,False,2,"ে | � | । | , | ন",17.7077 | 17.5386 | 17.1120 | 15.4709 | 15.0495,41,assamese
যেতিয়া সুনীতা আৰু দেৱী পুথিভঁৰাল এৰিছিল, সুনীতা ৰে টিকট দি গৈছিল,দেৱী,ৰোহান,সুনীতা,BAB,3,পুথিভঁৰাল,টিকট,35178,220,True,True,True,False,16.732819,14.596699,2.13612,0.21212335,0.02505437,True,2,ে | � | । | � | া,17.1001 | 16.7328 | 16.2696 | 15.8092 | 15.5274,52,assamese
যেতিয়া শ্যাম আৰু অনিল দোকান গৈছিল, শ্যাম ৰে চাবি দিলে,অনিল,ৰবি,শ্যাম,BAB,0,দোকান,চাবি,35178,220,True,True,True,False,16.780365,14.436949,2.343416,0.0852275,0.00818177,True,3,"ে | । | � | া� | ,",18.8528 | 17.0738 | 16.7804 | 15.7790 | 15.2248,40,assamese
যেতিয়া অৰ্জুন আৰু সুনীতা বজাৰ পাইছিল, অৰ্জুন ৰে ফোন দিলে,সুনীতা,কমল,অৰ্জুন,BAB,1,বজাৰ,ফোন,35178,35178,True,True,True,True,17.121943,17.121943,0.0,0.13895965,0.13895965,False,3,"ে | । | � | � | ,",18.2356 | 17.4723 | 17.1219 | 16.2052 | 15.9902,46,assamese
যেতিয়া গীতা আৰু ৰাম ষ্টেচন আহিছিল, গীতা ৰে উপহাৰ পঠালে,ৰাম,নীতা,গীতা,BAB,2,ষ্টেচন,উপহাৰ,220,35178,True,True,True,False,15.738054,17.32012,-1.582066,0.05704731,0.27753484,False,5,"� | ে | । | , | ",17.3201 | 17.2454 | 17.0133 | 15.8421 | 15.7381,40,assamese
যেতিয়া সীতা আৰু শ্যাম ৰেষ্টোৰেঁ এৰিছিল, সীতা ৰে চিঠি দি গৈছিল,শ্যাম,দেৱী,সীতা,BAB,3,ৰেষ্টোৰেঁ,চিঠি,35178,35178,True,True,True,True,16.424078,16.424078,0.0,0.17893666,0.17893666,False,2,ে | � | । | � | া,17.0265 | 16.4241 | 15.8608 | 15.5909 | 15.4716,49,assamese
