prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,0,the restaurant,letter,6798,17599,False,False,False,False,15.827424,10.690141,5.137283,0.35419738,0.00208042,True,1,David | the | his | a | him,15.8274 | 15.1756 | 14.1526 | 13.8468 | 13.2576,14,english
"Once Frank and Grace were at the office, Frank brought the note to","Once Uma and Grace were at the office, Uma brought the note to",Grace,Frank,Uma,ABB,4,the office,note,31071,9270,False,False,False,False,12.638885,9.889396,2.749489,0.05363628,0.00343061,True,3,the | her | Grace | his | their,14.0057 | 12.8811 | 12.6389 | 12.5966 | 12.4200,15,english
"When Yara and Zach left the market, Zach sent the pen to","When Yara and Amy left the market, Amy sent the pen to",Yara,Zach,Amy,ABB,3,the market,pen,809,38215,True,False,True,False,14.923589,8.970572,5.953016,0.27552509,0.00071581,True,1,Y | his | the | a | their,14.9236 | 14.2400 | 13.9806 | 12.3783 | 11.8211,15,english
"While Derek and Fred were at the theater, Derek delivered the trophy to","While Jack and Fred were at the theater, Jack delivered the trophy to",Fred,Derek,Jack,BAB,5,the theater,trophy,27488,42323,False,False,False,False,13.902719,10.564306,3.338412,0.13660456,0.00484854,True,2,the | Fred | his | their | Jim,14.4703 | 13.9027 | 13.6998 | 11.8992 | 11.5200,15,english
"When Iris and Jack visited the cafe, Jack handed the jacket to","When Iris and Noah visited the cafe, Noah handed the jacket to",Iris,Jack,Noah,ABB,1,the cafe,jacket,65721,7607,False,False,False,False,16.135424,11.999557,4.135866,0.59136325,0.00945519,True,1,Iris | the | his | a | her,16.1354 | 14.1307 | 13.2240 | 13.1026 | 12.9573,14,english
"As Quinn and Sam walked through the mall, Quinn offered the card to","As Tara and Sam walked through the mall, Tara offered the card to",Sam,Quinn,Tara,BAB,6,the mall,card,8224,40523,False,False,False,False,17.530043,12.399208,5.130835,0.82060552,0.00485111,True,1,Sam | her | the | a | him,17.5300 | 14.1185 | 13.7731 | 13.2438 | 12.9515,15,english
"Once Alice and Bob were at the beach, Bob brought the package to","Once Alice and Clara were at the beach, Clara brought the package to",Alice,Bob,Clara,ABB,4,the beach,package,29405,14261,False,False,False,False,16.514032,12.323393,4.190639,0.5146153,0.00778953,True,1,Alice | the | his | her | them,16.5140 | 15.3949 | 13.9952 | 13.6822 | 13.6093,15,english
"When Henry and Iris arrived at the office, Iris passed the letter to","When Henry and Kate arrived at the office, Kate passed the letter to",Henry,Iris,Kate,BAB,2,the office,letter,17599,65721,False,False,False,False,15.057039,11.719851,3.337189,0.16652098,0.00591761,True,2,him | Henry | her | the | them,15.4848 | 15.0570 | 14.7567 | 14.2418 | 13.8619,15,english
"After Carol and David left the store, Carol sent the key to","After Emma and David left the store, Emma sent the key to",David,Carol,Emma,BAB,3,the store,key,6798,10252,False,False,False,False,12.267182,10.198906,2.068276,0.02094855,0.00264797,True,5,the | her | a | their | David,14.6549 | 14.0581 | 12.7352 | 12.2920 | 12.2672,14,english
"When Gina and Harry visited the park, Harry handed the map to","When Gina and Isla visited the park, Isla handed the map to",Gina,Harry,Isla,ABB,1,the park,map,76212,13928,False,False,False,False,16.773582,10.191385,6.582197,0.60448211,0.00083709,True,1,Gina | his | a | the | ,16.7736 | 14.4300 | 14.3250 | 13.5228 | 13.3357,14,english
"While Liam and Mia were at the library, Liam delivered the book to","While Noah and Mia were at the library, Noah delivered the book to",Mia,Liam,Noah,ABB,5,the library,book,60597,60642,False,False,False,False,14.374349,11.696177,2.678171,0.14618549,0.01004129,True,2,the | Mia | his | their | a,14.8921 | 14.3743 | 13.4480 | 13.0193 | 12.7533,15,english
"When Noah and Olivia arrived at the museum, Olivia passed the ticket to","When Noah and Paul arrived at the museum, Paul passed the ticket to",Noah,Olivia,Paul,BAB,2,the museum,ticket,41984,59287,False,False,False,False,17.115015,12.17182,4.943195,0.58631384,0.00418146,True,1,Noah | the | him | a | her,17.1150 | 15.8232 | 13.9780 | 13.8749 | 13.5909,15,english
"As Rose and Sam walked through the market, Sam offered the pen to","As Rose and Tara walked through the market, Tara offered the pen to",Rose,Sam,Tara,ABB,6,the market,pen,15964,8224,False,False,False,False,16.981846,10.15421,6.827636,0.69488269,0.00075285,True,1,Rose | the | her | a | help,16.9818 | 14.5072 | 13.9279 | 13.5708 | 13.3868,15,english
"After Tara and Uma left the school, Tara sent the phone to","After Victor and Uma left the school, Victor sent the phone to",Uma,Tara,Victor,BAB,3,the school,phone,85768,69697,False,False,False,False,14.795701,10.521128,4.274573,0.27981636,0.00389448,True,1,Uma | her | the | a | U,14.7957 | 14.1100 | 13.8317 | 11.9545 | 11.9165,14,english
"When Victor and Wendy visited the hospital, Wendy handed the wallet to","When Victor and Xander visited the hospital, Xander handed the wallet to",Victor,Wendy,Xander,ABB,1,the hospital,wallet,32312,54576,False,False,False,False,15.817194,12.371162,3.446032,0.31638137,0.01008366,True,1,Victor | her | the | him | a,15.8172 | 14.9696 | 14.9681 | 14.2960 | 14.2536,14,english
