prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
जब राम और गीता पार्क गए, गीता ने किताब दिया,राम,श्याम,गीता,ABB,0,पार्क,किताब,14925,14925,True,True,True,True,16.879873,16.879873,0.0,0.62939262,0.62939262,False,1,"� | ह | , | क | स",16.8799 | 15.6484 | 14.1519 | 14.1125 | 13.5330,23,hindi
जब नीता और अनिल दुकान छोड़े, अनिल ने चाबी दे दिया,नीता,कमल,अनिल,ABB,3,दुकान,चाबी,14925,47809,True,True,True,False,17.028385,14.990034,2.038351,0.42220342,0.05498917,True,1,"� | ह | , | । | क",17.0284 | 16.3634 | 15.6233 | 15.3651 | 14.9900,29,hindi
जब पूजा और सीता अस्पताल गए, सीता ने टिकट दिया,पूजा,विजय,सीता,ABB,0,अस्पताल,टिकट,83636,14925,True,True,True,False,12.566532,16.599895,-4.033363,0.00932097,0.52617317,False,8,"� | ह | , | क | स",16.5999 | 16.0787 | 14.1046 | 13.6038 | 13.0114,26,hindi
जब राम और श्याम स्कूल गए, राम ने फोन दिया,श्याम,गीता,राम,BAB,0,स्कूल,फोन,14925,14925,True,True,True,True,17.095139,17.095139,0.0,0.61737043,0.61737043,False,1,"� | ह | , | क | स",17.0951 | 15.9508 | 14.8130 | 13.9951 | 13.4677,25,hindi
जब देवी और अनिल बाजार पहुंचे, देवी ने कलम सौंपा,अनिल,सीता,देवी,BAB,1,बाजार,कलम,14925,68158,True,True,True,False,16.448214,14.13117,2.317043,0.29461896,0.029039,True,2,"ह | � | , | क | म",16.4607 | 16.4482 | 15.7562 | 15.0173 | 14.5824,28,hindi
जब प्रिया और मोहन संग्रहालय आए, प्रिया ने कार्ड भेजा,मोहन,राम,प्रिया,BAB,2,संग्रहालय,कार्ड,91217,14925,True,True,True,False,11.196434,15.507179,-4.310745,0.00491629,0.3662442,False,16,"� | ह | ग | , | ं",15.5072 | 15.1313 | 14.1484 | 13.7729 | 13.4166,26,hindi
जब रोहन और देवी स्टेशन छोड़े, रोहन ने थैला दे दिया,देवी,सुनीता,रोहन,BAB,3,स्टेशन,थैला,14925,68158,True,True,True,False,17.042,14.064558,2.977442,0.43687651,0.02224704,True,1,"� | ह | क | , | ।",17.0420 | 16.4174 | 15.6039 | 15.2056 | 14.8451,29,hindi
जब अजय और रोहन कार्यालय गए, अजय ने पत्र दिया,रोहन,विजय,अजय,BAB,0,कार्यालय,पत्र,14925,14925,True,True,True,True,16.535912,16.535912,0.0,0.59152532,0.59152532,False,1,"� | ह | , | क | ।",16.5359 | 15.2466 | 14.3482 | 13.8390 | 13.2804,26,hindi
जब कमल और अजय रेस्टोरेंट पहुंचे, कमल ने उपहार सौंपा,अजय,अर्जुन,कमल,BAB,1,रेस्टोरेंट,उपहार,14925,14925,True,True,True,True,16.61846,16.61846,0.0,0.28607482,0.28607482,False,2,"ह | � | , | क | म",16.7507 | 16.6185 | 15.8936 | 15.4188 | 14.3634,30,hindi
जब मीना और सुरेश पार्क आए, मीना ने किताब भेजा,सुरेश,प्रिया,मीना,BAB,2,पार्क,किताब,68158,83636,True,True,True,False,10.755478,11.272004,-0.516526,0.00325623,0.00545807,False,24,"� | ह | ग | , | ं",15.6441 | 14.7294 | 13.9530 | 13.5074 | 13.4519,23,hindi
जब सुनीता और ललिता पुस्तकालय छोड़े, सुनीता ने टिकट दे दिया,ललिता,रोहन,सुनीता,BAB,3,पुस्तकालय,टिकट,14925,14925,True,True,True,True,16.951612,16.951612,0.0,0.47717345,0.47717345,False,1,"� | ह | क | , | ।",16.9516 | 15.8586 | 15.3210 | 15.0521 | 14.9075,34,hindi
जब पूजा और सुनीता दुकान गए, पूजा ने चाबी दिया,सुनीता,मीना,पूजा,BAB,0,दुकान,चाबी,68158,91217,True,True,True,False,12.831932,12.429535,0.402397,0.01225076,0.00819227,True,5,"� | ह | , | क | स",16.4838 | 16.2486 | 13.8911 | 13.6618 | 12.8319,26,hindi
जब अर्जुन और विजय बाजार पहुंचे, अर्जुन ने फोन सौंपा,विजय,कमल,अर्जुन,BAB,1,बाजार,फोन,14925,47809,True,True,True,False,16.966284,15.052253,1.914031,0.29686791,0.04378347,True,2,"ह | � | , | क | स",17.2870 | 16.9663 | 16.0760 | 15.0523 | 14.5681,30,hindi
जब श्याम और नीता स्टेशन आए, श्याम ने उपहार भेजा,नीता,सुरेश,श्याम,BAB,2,स्टेशन,उपहार,14925,68158,True,True,True,False,15.988783,11.264524,4.724259,0.31172639,0.00276728,True,1,"� | ह | ं | ग | ,",15.9888 | 15.7793 | 15.3401 | 14.7964 | 13.5104,26,hindi
जब गीता और पूजा रेस्टोरेंट छोड़े, गीता ने पत्र दे दिया,पूजा,अजय,गीता,BAB,3,रेस्टोरेंट,पत्र,83636,14925,True,True,True,False,13.589893,17.732586,-4.142693,0.0092814,0.58446997,False,7,"� | ह | , | । | क",17.7326 | 16.4486 | 15.9399 | 15.0551 | 14.9839,34,hindi
