prompt,speaker_name,recipient_name,pronoun,template_idx,target_token_id,foil_token_id,speaker_gender
Derek visited Iris at home. He brought flowers for,Derek,Iris,He,1,34230,20893,M
Gina called Fred on the phone. She left a message for,Gina,Fred,She,2,8559,43002,F
Paul helped Emma move. He carried the boxes for,Paul,Emma,He,3,18966,3362,M
Grace thanked Fred warmly. She wrote a letter for,Grace,Fred,She,4,8559,16156,F
Xander surprised Rose at the party. He baked a cake for,Xander,Rose,He,5,8049,46122,M
Gina recommended Derek for the job. She wrote a reference for,Gina,Derek,She,6,20893,43002,F
Fred met Grace at the store. He bought a gift for,Fred,Grace,He,0,16156,8559,M
Rose visited Fred at home. She brought flowers for,Rose,Fred,She,1,8559,8049,F
Paul called Clara on the phone. He left a message for,Paul,Clara,He,2,27443,3362,M
Tara helped Harry move. She carried the boxes for,Tara,Harry,She,3,5850,37723,F
Paul thanked Kate warmly. He wrote a letter for,Paul,Kate,He,4,16693,3362,M
Emma surprised Victor at the party. She baked a cake for,Emma,Victor,She,5,12622,18966,F
Sam recommended Mia for the job. He wrote a reference for,Sam,Mia,He,6,32189,3409,M
Tara met Frank at the store. She bought a gift for,Tara,Frank,She,0,5278,37723,F
Jack visited Iris at home. He brought flowers for,Jack,Iris,He,1,34230,3619,M
Gina called Jack on the phone. She left a message for,Gina,Jack,She,2,3619,43002,F
Frank helped Olivia move. He carried the boxes for,Frank,Olivia,He,3,33911,5278,M
Mia thanked Fred warmly. She wrote a letter for,Mia,Fred,She,4,8559,32189,F
David surprised Iris at the party. He baked a cake for,David,Iris,He,5,34230,3271,M
Olivia recommended Brian for the job. She wrote a reference for,Olivia,Brian,She,6,8403,33911,F
Bob met Amy at the store. He bought a gift for,Bob,Amy,He,0,14235,5811,M
Rose visited Bob at home. She brought flowers for,Rose,Bob,She,1,5811,8049,F
Victor called Olivia on the phone. He left a message for,Victor,Olivia,He,2,33911,12622,M
Olivia helped Paul move. She carried the boxes for,Olivia,Paul,She,3,3362,33911,F
Paul thanked Kate warmly. He wrote a letter for,Paul,Kate,He,4,16693,3362,M
Rose surprised Bob at the party. She baked a cake for,Rose,Bob,She,5,5811,8049,F
Xander recommended Clara for the job. He wrote a reference for,Xander,Clara,He,6,27443,46122,M
Olivia met Liam at the store. She bought a gift for,Olivia,Liam,She,0,31684,33911,F
Jack visited Amy at home. He brought flowers for,Jack,Amy,He,1,14235,3619,M
Alice called Brian on the phone. She left a message for,Alice,Brian,She,2,8403,14862,F
Bob helped Emma move. He carried the boxes for,Bob,Emma,He,3,18966,5811,M
Olivia thanked Jack warmly. She wrote a letter for,Olivia,Jack,She,4,3619,33911,F
Liam surprised Alice at the party. He baked a cake for,Liam,Alice,He,5,14862,31684,M
Olivia recommended Xander for the job. She wrote a reference for,Olivia,Xander,She,6,46122,33911,F
Fred met Mia at the store. He bought a gift for,Fred,Mia,He,0,32189,8559,M
Olivia visited Sam at home. She brought flowers for,Olivia,Sam,She,1,3409,33911,F
Sam called Emma on the phone. He left a message for,Sam,Emma,He,2,18966,3409,M
Alice helped David move. She carried the boxes for,Alice,David,She,3,3271,14862,F
Paul thanked Clara warmly. He wrote a letter for,Paul,Clara,He,4,27443,3362,M
Clara surprised David at the party. She baked a cake for,Clara,David,She,5,3271,27443,F
Paul recommended Iris for the job. He wrote a reference for,Paul,Iris,He,6,34230,3362,M
Alice met Jack at the store. She bought a gift for,Alice,Jack,She,0,3619,14862,F
Jack visited Rose at home. He brought flowers for,Jack,Rose,He,1,8049,3619,M
Emma called Noah on the phone. She left a message for,Emma,Noah,She,2,18394,18966,F
Sam helped Mia move. He carried the boxes for,Sam,Mia,He,3,32189,3409,M
Amy thanked Henry warmly. She wrote a letter for,Amy,Henry,She,4,8616,14235,F
Victor surprised Emma at the party. He baked a cake for,Victor,Emma,He,5,18966,12622,M
Alice recommended Victor for the job. She wrote a reference for,Alice,Victor,She,6,12622,14862,F
Brian met Olivia at the store. He bought a gift for,Brian,Olivia,He,0,33911,8403,M
Iris visited Frank at home. She brought flowers for,Iris,Frank,She,1,5278,34230,F
Paul called Emma on the phone. He left a message for,Paul,Emma,He,2,18966,3362,M
Kate helped Henry move. She carried the boxes for,Kate,Henry,She,3,8616,16693,F
David thanked Mia warmly. He wrote a letter for,David,Mia,He,4,32189,3271,M
Olivia surprised Zach at the party. She baked a cake for,Olivia,Zach,She,5,18825,33911,F
Xander recommended Alice for the job. He wrote a reference for,Xander,Alice,He,6,14862,46122,M
Olivia met Harry at the store. She bought a gift for,Olivia,Harry,She,0,5850,33911,F
Derek visited Mia at home. He brought flowers for,Derek,Mia,He,1,32189,20893,M
Rose called Jack on the phone. She left a message for,Rose,Jack,She,2,3619,8049,F
Liam helped Gina move. He carried the boxes for,Liam,Gina,He,3,43002,31684,M
Clara thanked Sam warmly. She wrote a letter for,Clara,Sam,She,4,3409,27443,F
Harry surprised Rose at the party. He baked a cake for,Harry,Rose,He,5,8049,5850,M
Gina recommended Sam for the job. She wrote a reference for,Gina,Sam,She,6,3409,43002,F
Paul met Emma at the store. He bought a gift for,Paul,Emma,He,0,18966,3362,M
Rose visited Paul at home. She brought flowers for,Rose,Paul,She,1,3362,8049,F
Brian called Mia on the phone. He left a message for,Brian,Mia,He,2,32189,8403,M
Rose helped Xander move. She carried the boxes for,Rose,Xander,She,3,46122,8049,F
Harry thanked Iris warmly. He wrote a letter for,Harry,Iris,He,4,34230,5850,M
Kate surprised Xander at the party. She baked a cake for,Kate,Xander,She,5,46122,16693,F
Sam recommended Tara for the job. He wrote a reference for,Sam,Tara,He,6,37723,3409,M
Tara met Noah at the store. She bought a gift for,Tara,Noah,She,0,18394,37723,F
Paul visited Gina at home. He brought flowers for,Paul,Gina,He,1,43002,3362,M
Rose called Paul on the phone. She left a message for,Rose,Paul,She,2,3362,8049,F
Harry helped Rose move. He carried the boxes for,Harry,Rose,He,3,8049,5850,M
Alice thanked Frank warmly. She wrote a letter for,Alice,Frank,She,4,5278,14862,F
Paul surprised Olivia at the party. He baked a cake for,Paul,Olivia,He,5,33911,3362,M
Iris recommended Victor for the job. She wrote a reference for,Iris,Victor,She,6,12622,34230,F
Zach met Rose at the store. He bought a gift for,Zach,Rose,He,0,8049,18825,M
Tara visited Zach at home. She brought flowers for,Tara,Zach,She,1,18825,37723,F
Xander called Mia on the phone. He left a message for,Xander,Mia,He,2,32189,46122,M
Rose helped Sam move. She carried the boxes for,Rose,Sam,She,3,3409,8049,F
Sam thanked Iris warmly. He wrote a letter for,Sam,Iris,He,4,34230,3409,M
Gina surprised Noah at the party. She baked a cake for,Gina,Noah,She,5,18394,43002,F
Henry recommended Gina for the job. He wrote a reference for,Henry,Gina,He,6,43002,8616,M
Gina met Liam at the store. She bought a gift for,Gina,Liam,She,0,31684,43002,F
Noah visited Gina at home. He brought flowers for,Noah,Gina,He,1,43002,18394,M
Kate called Victor on the phone. She left a message for,Kate,Victor,She,2,12622,16693,F
Noah helped Kate move. He carried the boxes for,Noah,Kate,He,3,16693,18394,M
Mia thanked Liam warmly. She wrote a letter for,Mia,Liam,She,4,31684,32189,F
Bob surprised Gina at the party. He baked a cake for,Bob,Gina,He,5,43002,5811,M
Grace recommended Sam for the job. She wrote a reference for,Grace,Sam,She,6,3409,16156,F
David met Tara at the store. He bought a gift for,David,Tara,He,0,37723,3271,M
Gina visited Jack at home. She brought flowers for,Gina,Jack,She,1,3619,43002,F
Harry called Emma on the phone. He left a message for,Harry,Emma,He,2,18966,5850,M
Alice helped Victor move. She carried the boxes for,Alice,Victor,She,3,12622,14862,F
Harry thanked Rose warmly. He wrote a letter for,Harry,Rose,He,4,8049,5850,M
Grace surprised David at the party. She baked a cake for,Grace,David,She,5,3271,16156,F
Harry recommended Emma for the job. He wrote a reference for,Harry,Emma,He,6,18966,5850,M
Emma met Brian at the store. She bought a gift for,Emma,Brian,She,0,8403,18966,F
Frank visited Amy at home. He brought flowers for,Frank,Amy,He,1,14235,5278,M
Clara called David on the phone. She left a message for,Clara,David,She,2,3271,27443,F
Jack helped Amy move. He carried the boxes for,Jack,Amy,He,3,14235,3619,M
Emma thanked Paul warmly. She wrote a letter for,Emma,Paul,She,4,3362,18966,F
Derek surprised Amy at the party. He baked a cake for,Derek,Amy,He,5,14235,20893,M
Amy recommended Paul for the job. She wrote a reference for,Amy,Paul,She,6,3362,14235,F
Brian met Rose at the store. He bought a gift for,Brian,Rose,He,0,8049,8403,M
Rose visited Victor at home. She brought flowers for,Rose,Victor,She,1,12622,8049,F
Derek called Kate on the phone. He left a message for,Derek,Kate,He,2,16693,20893,M
Amy helped David move. She carried the boxes for,Amy,David,She,3,3271,14235,F
Henry thanked Iris warmly. He wrote a letter for,Henry,Iris,He,4,34230,8616,M
Iris surprised Sam at the party. She baked a cake for,Iris,Sam,She,5,3409,34230,F
Frank recommended Grace for the job. He wrote a reference for,Frank,Grace,He,6,16156,5278,M
Grace met Frank at the store. She bought a gift for,Grace,Frank,She,0,5278,16156,F
Bob visited Olivia at home. He brought flowers for,Bob,Olivia,He,1,33911,5811,M
Gina called Harry on the phone. She left a message for,Gina,Harry,She,2,5850,43002,F
David helped Iris move. He carried the boxes for,David,Iris,He,3,34230,3271,M
Gina thanked Victor warmly. She wrote a letter for,Gina,Victor,She,4,12622,43002,F
Frank surprised Clara at the party. He baked a cake for,Frank,Clara,He,5,27443,5278,M
Kate recommended Noah for the job. She wrote a reference for,Kate,Noah,She,6,18394,16693,F
Henry met Tara at the store. He bought a gift for,Henry,Tara,He,0,37723,8616,M
Clara visited Jack at home. She brought flowers for,Clara,Jack,She,1,3619,27443,F
Jack called Emma on the phone. He left a message for,Jack,Emma,He,2,18966,3619,M
Grace helped Victor move. She carried the boxes for,Grace,Victor,She,3,12622,16156,F
Victor thanked Rose warmly. He wrote a letter for,Victor,Rose,He,4,8049,12622,M
Rose surprised Victor at the party. She baked a cake for,Rose,Victor,She,5,12622,8049,F
Sam recommended Tara for the job. He wrote a reference for,Sam,Tara,He,6,37723,3409,M
Rose met Fred at the store. She bought a gift for,Rose,Fred,She,0,8559,8049,F
David visited Olivia at home. He brought flowers for,David,Olivia,He,1,33911,3271,M
Mia called Sam on the phone. She left a message for,Mia,Sam,She,2,3409,32189,F
Frank helped Iris move. He carried the boxes for,Frank,Iris,He,3,34230,5278,M
Amy thanked Bob warmly. She wrote a letter for,Amy,Bob,She,4,5811,14235,F
Sam surprised Amy at the party. He baked a cake for,Sam,Amy,He,5,14235,3409,M
Grace recommended Harry for the job. She wrote a reference for,Grace,Harry,She,6,5850,16156,F
Fred met Kate at the store. He bought a gift for,Fred,Kate,He,0,16693,8559,M
Amy visited Derek at home. She brought flowers for,Amy,Derek,She,1,20893,14235,F
Harry called Emma on the phone. He left a message for,Harry,Emma,He,2,18966,5850,M
Mia helped Derek move. She carried the boxes for,Mia,Derek,She,3,20893,32189,F
Xander thanked Clara warmly. He wrote a letter for,Xander,Clara,He,4,27443,46122,M
Grace surprised Xander at the party. She baked a cake for,Grace,Xander,She,5,46122,16156,F
Harry recommended Kate for the job. He wrote a reference for,Harry,Kate,He,6,16693,5850,M
Olivia met David at the store. She bought a gift for,Olivia,David,She,0,3271,33911,F
Frank visited Mia at home. He brought flowers for,Frank,Mia,He,1,32189,5278,M
Mia called Henry on the phone. She left a message for,Mia,Henry,She,2,8616,32189,F
Bob helped Clara move. He carried the boxes for,Bob,Clara,He,3,27443,5811,M
Tara thanked Fred warmly. She wrote a letter for,Tara,Fred,She,4,8559,37723,F
David surprised Iris at the party. He baked a cake for,David,Iris,He,5,34230,3271,M
Mia recommended Harry for the job. She wrote a reference for,Mia,Harry,She,6,5850,32189,F
Fred met Alice at the store. He bought a gift for,Fred,Alice,He,0,14862,8559,M
Kate visited Jack at home. She brought flowers for,Kate,Jack,She,1,3619,16693,F
Fred called Gina on the phone. He left a message for,Fred,Gina,He,2,43002,8559,M
Emma helped Bob move. She carried the boxes for,Emma,Bob,She,3,5811,18966,F
Paul thanked Gina warmly. He wrote a letter for,Paul,Gina,He,4,43002,3362,M
Kate surprised Bob at the party. She baked a cake for,Kate,Bob,She,5,5811,16693,F
Derek recommended Emma for the job. He wrote a reference for,Derek,Emma,He,6,18966,20893,M
Emma met Fred at the store. She bought a gift for,Emma,Fred,She,0,8559,18966,F
Jack visited Rose at home. He brought flowers for,Jack,Rose,He,1,8049,3619,M
Gina called Victor on the phone. She left a message for,Gina,Victor,She,2,12622,43002,F
Sam helped Olivia move. He carried the boxes for,Sam,Olivia,He,3,33911,3409,M
Rose thanked Harry warmly. She wrote a letter for,Rose,Harry,She,4,5850,8049,F
Fred surprised Tara at the party. He baked a cake for,Fred,Tara,He,5,37723,8559,M
Olivia recommended Noah for the job. She wrote a reference for,Olivia,Noah,She,6,18394,33911,F
Jack met Emma at the store. He bought a gift for,Jack,Emma,He,0,18966,3619,M
Olivia visited Xander at home. She brought flowers for,Olivia,Xander,She,1,46122,33911,F
Sam called Alice on the phone. He left a message for,Sam,Alice,He,2,14862,3409,M
Gina helped Victor move. She carried the boxes for,Gina,Victor,She,3,12622,43002,F
Harry thanked Grace warmly. He wrote a letter for,Harry,Grace,He,4,16156,5850,M
