prompt,speaker,recipient,pronoun,logit_diff,prob_io,prob_s,is_correct,rank_io,template_idx
Clara called Paul on the phone. She left a message for,Clara,Paul,She,8.092620849609375,0.2600982189178467,7.953472959343344e-05,True,2,2
Xander helped Alice move. He carried the boxes for,Xander,Alice,He,7.657167434692383,0.20120255649089813,9.50972389546223e-05,True,2,3
Alice thanked Xander warmly. She wrote a letter for,Alice,Xander,She,2.306269645690918,0.10020019859075546,0.009983168914914131,True,3,4
Sam surprised Emma at the party. He baked a cake for,Sam,Emma,He,1.3178024291992188,0.08650369942188263,0.023159030824899673,True,2,5
Amy recommended Xander for the job. She wrote a reference for,Amy,Xander,She,3.4895973205566406,0.29773393273353577,0.009084802120923996,True,1,6
Harry met Olivia at the store. He bought a gift for,Harry,Olivia,He,2.08303165435791,0.10291049629449844,0.012817713432013988,True,2,0
Clara visited Fred at home. She brought flowers for,Clara,Fred,She,4.670902252197266,0.18317104876041412,0.001715180347673595,True,2,1
Sam called Grace on the phone. He left a message for,Sam,Grace,He,2.450519561767578,0.07447580248117447,0.006423445418477058,True,2,2
Gina helped Sam move. She carried the boxes for,Gina,Sam,She,7.609060287475586,0.33713048696517944,0.000167195699759759,True,1,3
Derek thanked Amy warmly. He wrote a letter for,Derek,Amy,He,5.014396667480469,0.17684945464134216,0.0011745700612664223,True,2,4
Mia surprised Paul at the party. She baked a cake for,Mia,Paul,She,5.441213607788086,0.2145584523677826,0.0009299435187131166,True,2,5
Harry recommended Emma for the job. He wrote a reference for,Harry,Emma,He,1.990492820739746,0.15323257446289062,0.020935870707035065,True,2,6
Alice met Henry at the store. She bought a gift for,Alice,Henry,She,0.49015235900878906,0.0672701746225357,0.041205208748579025,True,3,0
Liam visited Clara at home. He brought flowers for,Liam,Clara,He,4.558917045593262,0.07513172924518585,0.0007868843385949731,True,3,1
Amy called Frank on the phone. She left a message for,Amy,Frank,She,1.852381706237793,0.08736389875411987,0.01370417419821024,True,3,2
Brian helped Amy move. He carried the boxes for,Brian,Amy,He,5.035201072692871,0.30380913615226746,0.0019762450829148293,True,1,3
Tara thanked Sam warmly. She wrote a letter for,Tara,Sam,She,4.403997421264648,0.09365860372781754,0.0011452911421656609,True,3,4
Bob surprised Clara at the party. He baked a cake for,Bob,Clara,He,1.886831283569336,0.059745270758867264,0.009054471738636494,True,2,5
Emma recommended Sam for the job. She wrote a reference for,Emma,Sam,She,2.8015851974487305,0.19705730676651,0.011964086443185806,True,1,6
Xander met Emma at the store. He bought a gift for,Xander,Emma,He,4.757190704345703,0.05226452276110649,0.0004489369166549295,True,2,0
Olivia visited Liam at home. She brought flowers for,Olivia,Liam,She,2.5397567749023438,0.21500305831432343,0.016960641369223595,True,2,1
Bob called Gina on the phone. He left a message for,Bob,Gina,He,1.2690153121948242,0.06752266734838486,0.01898118294775486,True,2,2
Gina helped Sam move. She carried the boxes for,Gina,Sam,She,7.609060287475586,0.33713048696517944,0.000167195699759759,True,1,3
Liam thanked Tara warmly. He wrote a letter for,Liam,Tara,He,2.949665069580078,0.13230739533901215,0.006927249487489462,True,2,4
Emma surprised Victor at the party. She baked a cake for,Emma,Victor,She,1.4918155670166016,0.07096509635448456,0.015964582562446594,True,3,5
Noah recommended Grace for the job. He wrote a reference for,Noah,Grace,He,1.7898139953613281,0.041106466203927994,0.006864418741315603,True,6,6
Grace met Bob at the store. She bought a gift for,Grace,Bob,She,4.35435676574707,0.1693134754896164,0.0021757972426712513,True,2,0
Xander visited Rose at home. He brought flowers for,Xander,Rose,He,4.268588066101074,0.09040612727403641,0.0012658248888328671,True,3,1
Emma called Zach on the phone. She left a message for,Emma,Zach,She,1.401442527770996,0.08589771389961243,0.021151583641767502,True,3,2
Paul helped Alice move. He carried the boxes for,Paul,Alice,He,4.796450614929199,0.21347033977508545,0.0017630535876378417,True,2,3
Amy thanked Frank warmly. She wrote a letter for,Amy,Frank,She,1.1578350067138672,0.0328591987490654,0.010323231108486652,True,5,4
Harry surprised Emma at the party. He baked a cake for,Harry,Emma,He,1.397038459777832,0.05718493089079857,0.014143455773591995,True,2,5
Tara recommended Jack for the job. She wrote a reference for,Tara,Jack,She,5.508518218994141,0.23956571519374847,0.0009707459830678999,True,1,6
Harry met Tara at the store. He bought a gift for,Harry,Tara,He,1.6109228134155273,0.09118149429559708,0.018209239467978477,True,2,0
Kate visited Derek at home. She brought flowers for,Kate,Derek,She,2.440988540649414,0.12445957213640213,0.010837282985448837,True,2,1
Noah called Gina on the phone. He left a message for,Noah,Gina,He,3.723865509033203,0.027998555451631546,0.0006758983363397419,True,4,2
Olivia helped Zach move. She carried the boxes for,Olivia,Zach,She,2.790498733520508,0.1481371968984604,0.009094229899346828,True,2,3
Fred thanked Emma warmly. He wrote a letter for,Fred,Emma,He,3.951333999633789,0.18787632882595062,0.0036126801278442144,True,2,4
Iris surprised Frank at the party. She baked a cake for,Iris,Frank,She,3.9961910247802734,0.036256346851587296,0.0006665923865512013,True,4,5
Bob recommended Amy for the job. He wrote a reference for,Bob,Amy,He,0.29503726959228516,0.0856558158993721,0.0637710839509964,True,2,6
Iris met Paul at the store. She bought a gift for,Iris,Paul,She,0.011663436889648438,0.008873078040778637,0.008770189248025417,True,9,0
Frank visited Gina at home. He brought flowers for,Frank,Gina,He,4.415063858032227,0.20826402306556702,0.0025186995044350624,True,2,1
Alice called Paul on the phone. She left a message for,Alice,Paul,She,3.6100282669067383,0.13769008219242096,0.0037246656138449907,True,2,2
David helped Mia move. He carried the boxes for,David,Mia,He,1.8488216400146484,0.03635453060269356,0.005723023321479559,True,3,3
Tara thanked Paul warmly. She wrote a letter for,Tara,Paul,She,6.333909034729004,0.14715352654457092,0.0002612094976939261,True,2,4
Harry surprised Iris at the party. He baked a cake for,Harry,Iris,He,0.49950313568115234,0.038101404905319214,0.023121153935790062,True,4,5
Grace recommended Harry for the job. She wrote a reference for,Grace,Harry,She,6.160466194152832,0.15071867406368256,0.0003182076325174421,True,2,6
Harry met Olivia at the store. He bought a gift for,Harry,Olivia,He,2.08303165435791,0.10291049629449844,0.012817713432013988,True,2,0
Emma visited Henry at home. She brought flowers for,Emma,Henry,She,1.9933967590332031,0.36744779348373413,0.05005811154842377,True,1,1
Derek called Mia on the phone. He left a message for,Derek,Mia,He,2.6255760192871094,0.030190275982022285,0.0021857169922441244,True,5,2
Olivia helped Fred move. She carried the boxes for,Olivia,Fred,She,3.4956207275390625,0.16054493188858032,0.0048693143762648106,True,2,3
Henry thanked Alice warmly. He wrote a letter for,Henry,Alice,He,2.8205175399780273,0.2090737521648407,0.01245559100061655,True,2,4
Gina surprised Xander at the party. She baked a cake for,Gina,Xander,She,6.684242248535156,0.07735384255647659,9.67280357144773e-05,True,3,5
Paul recommended Iris for the job. He wrote a reference for,Paul,Iris,He,2.9435081481933594,0.12147983908653259,0.006399630103260279,True,3,6
Tara met Fred at the store. She bought a gift for,Tara,Fred,She,1.3585472106933594,0.05287250876426697,0.013590029440820217,True,3,0
Derek visited Grace at home. He brought flowers for,Derek,Grace,He,4.277989387512207,0.07765409350395203,0.0010771028464660048,True,3,1
Rose called Paul on the phone. She left a message for,Rose,Paul,She,3.550762176513672,0.29341545701026917,0.008421831764280796,True,2,2
Fred helped Tara move. He carried the boxes for,Fred,Tara,He,4.254093170166016,0.22596901655197144,0.0032101087272167206,True,2,3
Alice thanked Bob warmly. She wrote a letter for,Alice,Bob,She,1.2945928573608398,0.10750647634267807,0.029457785189151764,True,3,4
Paul surprised Grace at the party. He baked a cake for,Paul,Grace,He,1.4786453247070312,0.04226912558078766,0.00963508989661932,True,3,5
Rose recommended Harry for the job. She wrote a reference for,Rose,Harry,She,3.562297821044922,0.20049284398555756,0.005688694305717945,True,2,6
Brian met Alice at the store. He bought a gift for,Brian,Alice,He,2.611818313598633,0.1119464635848999,0.0082169771194458,True,2,0
Olivia visited Bob at home. She brought flowers for,Olivia,Bob,She,2.6957435607910156,0.16032619774341583,0.010820763185620308,True,2,1
Sam called Rose on the phone. He left a message for,Sam,Rose,He,1.2454662322998047,0.06845691800117493,0.019702360033988953,True,3,2
Olivia helped Harry move. She carried the boxes for,Olivia,Harry,She,5.172725677490234,0.09201712161302567,0.0005216538556851447,True,2,3
Noah thanked Kate warmly. He wrote a letter for,Noah,Kate,He,2.945211410522461,0.07613563537597656,0.00400404492393136,True,2,4
Alice surprised David at the party. She baked a cake for,Alice,David,She,2.4221057891845703,0.0961061492562294,0.008527936413884163,True,2,5
David recommended Alice for the job. He wrote a reference for,David,Alice,He,2.986072540283203,0.12130406498908997,0.006124075502157211,True,2,6
Rose met Liam at the store. She bought a gift for,Rose,Liam,She,0.7879457473754883,0.07471016049385071,0.03397654369473457,True,3,0
Frank visited Grace at home. He brought flowers for,Frank,Grace,He,3.6864471435546875,0.11480001360177994,0.0028769897762686014,True,3,1
Amy called Frank on the phone. She left a message for,Amy,Frank,She,1.8523826599121094,0.08736387640237808,0.013704157434403896,True,3,2
Paul helped Olivia move. He carried the boxes for,Paul,Olivia,He,4.139304161071777,0.23227559030056,0.003701064269989729,True,2,3
Amy thanked Paul warmly. She wrote a letter for,Amy,Paul,She,2.384286880493164,0.16170214116573334,0.014901607297360897,True,2,4
David surprised Amy at the party. He baked a cake for,David,Amy,He,4.063642501831055,0.10878761112689972,0.0018696568440645933,True,2,5
Olivia recommended Xander for the job. She wrote a reference for,Olivia,Xander,She,3.1969804763793945,0.20837989449501038,0.008519710972905159,True,2,6
Noah met Clara at the store. He bought a gift for,Noah,Clara,He,2.631837844848633,0.01937815733253956,0.0013941830256953835,True,3,0
Mia visited Paul at home. She brought flowers for,Mia,Paul,She,4.4155683517456055,0.32025641202926636,0.0038711577653884888,True,1,1
Brian called Grace on the phone. He left a message for,Brian,Grace,He,1.9869394302368164,0.09452413022518158,0.01296062208712101,True,2,2
Clara helped Victor move. She carried the boxes for,Clara,Victor,She,4.7501373291015625,0.26417121291160583,0.002285214839503169,True,2,3
Xander thanked Emma warmly. He wrote a letter for,Xander,Emma,He,7.774889945983887,0.2688676118850708,0.00011296571756247431,True,2,4
Rose surprised Henry at the party. She baked a cake for,Rose,Henry,She,2.3754711151123047,0.11352545768022537,0.010554539039731026,True,2,5
Noah recommended Tara for the job. He wrote a reference for,Noah,Tara,He,3.133298873901367,0.08564198762178421,0.003731748089194298,True,3,6
Grace met Zach at the store. She bought a gift for,Grace,Zach,She,2.91009521484375,0.14591969549655914,0.007948324084281921,True,3,0
Paul visited Mia at home. He brought flowers for,Paul,Mia,He,1.899113655090332,0.05639609694480896,0.00844256579875946,True,3,1
Grace called Fred on the phone. She left a message for,Grace,Fred,She,4.4186296463012695,0.15179215371608734,0.001829206827096641,True,2,2
Victor helped Amy move. He carried the boxes for,Victor,Amy,He,5.059104919433594,0.13543331623077393,0.0008601697045378387,True,2,3
Clara thanked Bob warmly. She wrote a letter for,Clara,Bob,She,4.567843437194824,0.07834198325872421,0.0008132149814628065,True,4,4
Victor surprised Clara at the party. He baked a cake for,Victor,Clara,He,1.2954216003417969,0.0703568235039711,0.019262460991740227,True,2,5
Grace recommended Sam for the job. She wrote a reference for,Grace,Sam,She,2.988917350769043,0.09791630506515503,0.004929293878376484,True,3,6
Henry met Gina at the store. He bought a gift for,Henry,Gina,He,0.9442024230957031,0.06982629001140594,0.027161704376339912,True,2,0
Grace visited Sam at home. She brought flowers for,Grace,Sam,She,2.0896034240722656,0.11213012784719467,0.013874555937945843,True,3,1
Noah called Gina on the phone. He left a message for,Noah,Gina,He,3.723865509033203,0.027998555451631546,0.0006758983363397419,True,4,2
Iris helped Sam move. She carried the boxes for,Iris,Sam,She,6.418463706970215,0.12616890668869019,0.00020580168347805738,True,3,3
Harry thanked Kate warmly. He wrote a letter for,Harry,Kate,He,0.8349294662475586,0.07539603859186172,0.03271472454071045,True,2,4
Alice surprised Frank at the party. She baked a cake for,Alice,Frank,She,1.0371007919311523,0.057400647550821304,0.020347433164715767,True,3,5
Derek recommended Kate for the job. He wrote a reference for,Derek,Kate,He,2.049104690551758,0.10147174447774887,0.013074656017124653,True,3,6
Alice met Xander at the store. She bought a gift for,Alice,Xander,She,2.444690704345703,0.11190836876630783,0.009708383120596409,True,3,0
Sam visited Grace at home. He brought flowers for,Sam,Grace,He,2.308286666870117,0.09860210865736008,0.009804151952266693,True,3,1
Rose called Derek on the phone. She left a message for,Rose,Derek,She,1.7968149185180664,0.06189005821943283,0.010262995027005672,True,4,2
Bob helped Emma move. He carried the boxes for,Bob,Emma,He,4.895873069763184,0.18380926549434662,0.0013744113966822624,True,2,3
Gina thanked Jack warmly. She wrote a letter for,Gina,Jack,She,5.741001129150391,0.08499179780483246,0.0002729555417317897,True,3,4
David surprised Mia at the party. He baked a cake for,David,Mia,He,1.724639892578125,0.03831523284316063,0.006829200312495232,True,3,5
Tara recommended Jack for the job. She wrote a reference for,Tara,Jack,She,5.508518218994141,0.23956571519374847,0.0009707459830678999,True,1,6
Jack met Alice at the store. He bought a gift for,Jack,Alice,He,1.183420181274414,0.2192082703113556,0.06712805479764938,True,2,0
Mia visited David at home. She brought flowers for,Mia,David,She,3.5312395095825195,0.17518070340156555,0.005127296317368746,True,2,1
Noah called Clara on the phone. He left a message for,Noah,Clara,He,3.3748931884765625,0.022225098684430122,0.0007605823338963091,True,5,2
Clara helped Henry move. She carried the boxes for,Clara,Henry,She,7.534278869628906,0.6244122982025146,0.0003337149682920426,True,1,3
Derek thanked Amy warmly. He wrote a letter for,Derek,Amy,He,5.014396667480469,0.17684945464134216,0.0011745700612664223,True,2,4
Grace surprised Paul at the party. She baked a cake for,Grace,Paul,She,3.541666030883789,0.11491701006889343,0.003328574588522315,True,2,5
Liam recommended Olivia for the job. He wrote a reference for,Liam,Olivia,He,2.626896858215332,0.16572807729244232,0.011982551775872707,True,2,6
Grace met Xander at the store. She bought a gift for,Grace,Xander,She,3.734251022338867,0.1036219671368599,0.00247563817538321,True,3,0
Paul visited Kate at home. He brought flowers for,Paul,Kate,He,2.2484798431396484,0.10718740522861481,0.01131465658545494,True,3,1
Gina called Henry on the phone. She left a message for,Gina,Henry,She,6.954078197479248,0.12621814012527466,0.000120504766528029,True,2,2
David helped Rose move. He carried the boxes for,David,Rose,He,2.914121627807617,0.08881986141204834,0.004818625748157501,True,3,3
Iris thanked Fred warmly. She wrote a letter for,Iris,Fred,She,3.731125831604004,0.024306945502758026,0.0005825363332405686,True,6,4
Victor surprised Iris at the party. He baked a cake for,Victor,Iris,He,1.7624406814575195,0.08949913084506989,0.015360330231487751,True,2,5
Alice recommended Noah for the job. She wrote a reference for,Alice,Noah,She,3.270662307739258,0.1701793372631073,0.006463626865297556,True,2,6
Xander met Kate at the store. He bought a gift for,Xander,Kate,He,6.138261795043945,0.161974236369133,0.00034964934457093477,True,2,0
Emma visited Sam at home. She brought flowers for,Emma,Sam,She,2.7429304122924805,0.1629525125026703,0.010491111315786839,True,3,1
Brian called Clara on the phone. He left a message for,Brian,Clara,He,1.178497314453125,0.03591127693653107,0.011051367036998272,True,4,2
Tara helped Xander move. She carried the boxes for,Tara,Xander,She,4.332245826721191,0.10407933592796326,0.0013673951616510749,True,2,3
Henry thanked Kate warmly. He wrote a letter for,Henry,Kate,He,2.0394649505615234,0.15558207035064697,0.020240962505340576,True,2,4
Amy surprised Sam at the party. She baked a cake for,Amy,Sam,She,2.186123847961426,0.17844319343566895,0.020048340782523155,True,2,5
Henry recommended Amy for the job. He wrote a reference for,Henry,Amy,He,0.5942239761352539,0.10105574131011963,0.055781833827495575,True,2,6
Mia met Xander at the store. She bought a gift for,Mia,Xander,She,3.9106674194335938,0.10029391944408417,0.0020085994619876146,True,3,0
Henry visited Olivia at home. He brought flowers for,Henry,Olivia,He,1.6520576477050781,0.1203768253326416,0.023070838302373886,True,2,1
Amy called Noah on the phone. She left a message for,Amy,Noah,She,2.5421667098999023,0.07213997840881348,0.005677106324583292,True,4,2
David helped Gina move. He carried the boxes for,David,Gina,He,2.1104345321655273,0.06142578646540642,0.0074439020827412605,True,3,3
Alice thanked Noah warmly. She wrote a letter for,Alice,Noah,She,3.69089412689209,0.15024334192276,0.0037485237699002028,True,2,4
Derek surprised Emma at the party. He baked a cake for,Derek,Emma,He,4.280597686767578,0.07845157384872437,0.0010853298008441925,True,2,5
Mia recommended Xander for the job. She wrote a reference for,Mia,Xander,She,6.186772346496582,0.2590845227241516,0.0005327953258529305,True,1,6
Henry met Gina at the store. He bought a gift for,Henry,Gina,He,0.9442024230957031,0.06982629001140594,0.027161704376339912,True,2,0
Kate visited Victor at home. She brought flowers for,Kate,Victor,She,1.9446325302124023,0.0805661603808403,0.011524166911840439,True,4,1
Derek called Mia on the phone. He left a message for,Derek,Mia,He,2.6255760192871094,0.030190275982022285,0.0021857169922441244,True,5,2
Gina helped Victor move. She carried the boxes for,Gina,Victor,She,7.47170352935791,0.19037538766860962,0.00010831564577529207,True,2,3
Jack thanked Iris warmly. He wrote a letter for,Jack,Iris,He,3.508005142211914,0.20251907408237457,0.0060667856596410275,True,2,4
Clara surprised Brian at the party. She baked a cake for,Clara,Brian,She,6.182041168212891,0.11625173687934875,0.0002402000391157344,True,2,5
Liam recommended Amy for the job. He wrote a reference for,Liam,Amy,He,2.973470687866211,0.1167227029800415,0.005967514123767614,True,2,6
Kate met Brian at the store. She bought a gift for,Kate,Brian,She,0.6557273864746094,0.05090327188372612,0.02642207220196724,True,3,0
Bob visited Kate at home. He brought flowers for,Bob,Kate,He,1.9114408493041992,0.12813419103622437,0.01894684135913849,True,2,1
Iris called Derek on the phone. She left a message for,Iris,Derek,She,3.7237062454223633,0.023225901648402214,0.0005607734783552587,True,6,2
Xander helped Rose move. He carried the boxes for,Xander,Rose,He,4.973018646240234,0.11388327181339264,0.0007883250946179032,True,3,3
Rose thanked Noah warmly. She wrote a letter for,Rose,Noah,She,3.4862709045410156,0.142610102891922,0.004365983419120312,True,3,4
Harry surprised Gina at the party. He baked a cake for,Harry,Gina,He,0.2426319122314453,0.030611876398324966,0.024016860872507095,True,3,5
Clara recommended Frank for the job. She wrote a reference for,Clara,Frank,She,5.0188140869140625,0.12795166671276093,0.000846062961500138,True,2,6
Xander met Emma at the store. He bought a gift for,Xander,Emma,He,4.757190704345703,0.05226452276110649,0.0004489369166549295,True,2,0
Iris visited Victor at home. She brought flowers for,Iris,Victor,She,1.091141700744629,0.025643587112426758,0.008611959405243397,True,7,1
Noah called Grace on the phone. He left a message for,Noah,Grace,He,2.2680368423461914,0.0238591767847538,0.0024697876069694757,True,5,2
Alice helped Paul move. She carried the boxes for,Alice,Paul,She,1.9588813781738281,0.14962464570999146,0.021099481731653214,True,2,3
Frank thanked Rose warmly. He wrote a letter for,Frank,Rose,He,3.3149147033691406,0.0749315470457077,0.0027227983810007572,True,3,4
Clara surprised Noah at the party. She baked a cake for,Clara,Noah,She,7.811220169067383,0.15516749024391174,6.286818825174123e-05,True,2,5
Harry recommended Olivia for the job. He wrote a reference for,Harry,Olivia,He,1.3500614166259766,0.09074072539806366,0.023522203788161278,True,3,6
Grace met Bob at the store. She bought a gift for,Grace,Bob,She,4.35435676574707,0.1693134754896164,0.0021757972426712513,True,2,0
Derek visited Iris at home. He brought flowers for,Derek,Iris,He,4.932313919067383,0.11527910828590393,0.0008311394485644996,True,3,1
Gina called Fred on the phone. She left a message for,Gina,Fred,She,7.1819562911987305,0.21461862325668335,0.000163148608407937,True,2,2
Paul helped Emma move. He carried the boxes for,Paul,Emma,He,4.502352714538574,0.1810474395751953,0.0020065291319042444,True,2,3
Grace thanked Fred warmly. She wrote a letter for,Grace,Fred,She,3.7786693572998047,0.07208220660686493,0.0016473003197461367,True,3,4
Xander surprised Rose at the party. He baked a cake for,Xander,Rose,He,4.3729658126831055,0.03480246290564537,0.00043899042066186666,True,5,5
Gina recommended Derek for the job. She wrote a reference for,Gina,Derek,She,4.917441368103027,0.0735865980386734,0.0005384942633099854,True,4,6
Fred met Grace at the store. He bought a gift for,Fred,Grace,He,-0.07379150390625,0.03499913215637207,0.03767944872379303,False,4,0
Rose visited Fred at home. She brought flowers for,Rose,Fred,She,1.456984519958496,0.1632322371006012,0.038022927939891815,True,2,1
Paul called Clara on the phone. He left a message for,Paul,Clara,He,0.9241209030151367,0.04713791236281395,0.01870810240507126,True,3,2
Tara helped Harry move. She carried the boxes for,Tara,Harry,She,6.817868232727051,0.11902742087841034,0.000130222033476457,True,2,3
Paul thanked Kate warmly. He wrote a letter for,Paul,Kate,He,2.598804473876953,0.13810645043849945,0.010269930586218834,True,2,4
Emma surprised Victor at the party. She baked a cake for,Emma,Victor,She,1.4918174743652344,0.07096511125564575,0.015964554622769356,True,3,5
Sam recommended Mia for the job. He wrote a reference for,Sam,Mia,He,0.0469818115234375,0.0281737819314003,0.026880739256739616,True,6,6
Tara met Frank at the store. She bought a gift for,Tara,Frank,She,0.49666690826416016,0.03796161338686943,0.023101752623915672,True,3,0
Jack visited Iris at home. He brought flowers for,Jack,Iris,He,3.593690872192383,0.18857444822788239,0.005185166373848915,True,2,1
Gina called Jack on the phone. She left a message for,Gina,Jack,She,5.062666893005371,0.06579180061817169,0.00041637386311776936,True,3,2
Frank helped Olivia move. He carried the boxes for,Frank,Olivia,He,4.321922302246094,0.21383091807365417,0.0028384646866470575,True,2,3
Mia thanked Fred warmly. She wrote a letter for,Mia,Fred,She,5.313715934753418,0.10421363264322281,0.0005131058860570192,True,2,4
David surprised Iris at the party. He baked a cake for,David,Iris,He,1.9552345275878906,0.08142616599798203,0.011524349451065063,True,2,5
Olivia recommended Brian for the job. She wrote a reference for,Olivia,Brian,She,2.345057487487793,0.09948358684778214,0.009534675627946854,True,4,6
Bob met Amy at the store. He bought a gift for,Bob,Amy,He,2.6756324768066406,0.14774926006793976,0.010174496099352837,True,2,0
Rose visited Bob at home. She brought flowers for,Rose,Bob,She,2.701852798461914,0.36918073892593384,0.024765053763985634,True,1,1
Victor called Olivia on the phone. He left a message for,Victor,Olivia,He,3.004157066345215,0.03517264500260353,0.00174387835431844,True,5,2
Olivia helped Paul move. She carried the boxes for,Olivia,Paul,She,4.171343803405762,0.15014198422431946,0.0023169172927737236,True,2,3
Paul thanked Kate warmly. He wrote a letter for,Paul,Kate,He,2.598804473876953,0.13810645043849945,0.010269930586218834,True,2,4
Rose surprised Bob at the party. She baked a cake for,Rose,Bob,She,2.504894256591797,0.10148085653781891,0.008289385586977005,True,2,5
Xander recommended Clara for the job. He wrote a reference for,Xander,Clara,He,4.256908416748047,0.09191076457500458,0.0013020107289776206,True,3,6
Olivia met Liam at the store. She bought a gift for,Olivia,Liam,She,0.07565689086914062,0.09166491031646729,0.08498567342758179,True,3,0
Jack visited Amy at home. He brought flowers for,Jack,Amy,He,4.2566986083984375,0.3916673958301544,0.005549536552280188,True,1,1
Alice called Brian on the phone. She left a message for,Alice,Brian,She,3.1491260528564453,0.09994176775217056,0.004286462441086769,True,3,2
Bob helped Emma move. He carried the boxes for,Bob,Emma,He,4.895873069763184,0.18380926549434662,0.0013744113966822624,True,2,3
Olivia thanked Jack warmly. She wrote a letter for,Olivia,Jack,She,3.0264596939086914,0.06295420974493027,0.00305246002972126,True,4,4
Liam surprised Alice at the party. He baked a cake for,Liam,Alice,He,3.6752424240112305,0.043822575360536575,0.001110606943257153,True,3,5
Olivia recommended Xander for the job. She wrote a reference for,Olivia,Xander,She,3.1969804763793945,0.20837989449501038,0.008519710972905159,True,2,6
Fred met Mia at the store. He bought a gift for,Fred,Mia,He,1.380544662475586,0.07233983278274536,0.018189242109656334,True,2,0
Olivia visited Sam at home. She brought flowers for,Olivia,Sam,She,1.7113513946533203,0.062340475618839264,0.011260032653808594,True,4,1
Sam called Emma on the phone. He left a message for,Sam,Emma,He,2.495014190673828,0.09004037082195282,0.007427906151860952,True,2,2
Alice helped David move. She carried the boxes for,Alice,David,She,1.843602180480957,0.06767865270376205,0.010709901340305805,True,4,3
