prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
"When Brian and Alice arrived at the store, Alice passed the key to","When Brian and Gina arrived at the store, Gina passed the key to",Brian,Alice,Gina,BAB,2,the store,key,1,1,[17083],[29405],-2.134013,-6.679484,4.545471,-2.134013,-6.679484,4.545471,True,True,english
"Once Frank and Grace were at the office, Frank brought the note to","Once Uma and Grace were at the office, Uma brought the note to",Grace,Frank,Uma,ABB,4,the office,note,1,1,[31071],[9270],-2.92554,-5.675013,2.749473,-2.92554,-5.675013,2.749473,True,True,english
"When Yara and Zach left the market, Zach sent the pen to","When Yara and Amy left the market, Amy sent the pen to",Yara,Zach,Amy,ABB,3,the market,pen,2,1,"[809, 5059]",[38215],-1.29271,-7.242101,5.949391,-0.646355,-7.242101,6.595746,True,True,english
"While Derek and Fred were at the theater, Derek delivered the trophy to","While Jack and Fred were at the theater, Jack delivered the trophy to",Fred,Derek,Jack,BAB,5,the theater,trophy,1,1,[27488],[42323],-1.990686,-5.329073,3.338387,-1.990686,-5.329073,3.338387,True,True,english
"When Iris and Jack visited the cafe, Jack handed the jacket to","When Iris and Noah visited the cafe, Noah handed the jacket to",Iris,Jack,Noah,ABB,1,the cafe,jacket,1,1,[65721],[7607],-0.525327,-4.66119,4.135863,-0.525327,-4.66119,4.135863,True,True,english
"As Quinn and Sam walked through the mall, Quinn offered the card to","As Tara and Sam walked through the mall, Tara offered the card to",Sam,Quinn,Tara,BAB,6,the mall,card,1,1,[8224],[40523],-0.197714,-5.328559,5.130845,-0.197714,-5.328559,5.130845,True,True,english
"Once Alice and Bob were at the beach, Bob brought the package to","Once Alice and Clara were at the beach, Clara brought the package to",Alice,Bob,Clara,ABB,4,the beach,package,1,1,[29405],[14261],-0.664335,-4.85497,4.190636,-0.664335,-4.85497,4.190636,True,True,english
"When Henry and Iris arrived at the office, Iris passed the letter to","When Henry and Kate arrived at the office, Kate passed the letter to",Henry,Iris,Kate,BAB,2,the office,letter,1,1,[17599],[65721],-1.792629,-5.129839,3.337211,-1.792629,-5.129839,3.337211,True,True,english
"After Carol and David left the store, Carol sent the key to","After Emma and David left the store, Emma sent the key to",David,Carol,Emma,BAB,3,the store,key,1,1,[6798],[10252],-3.865685,-5.933962,2.068277,-3.865685,-5.933962,2.068277,True,True,english
"When Gina and Harry visited the park, Harry handed the map to","When Gina and Isla visited the park, Isla handed the map to",Gina,Harry,Isla,ABB,1,the park,map,1,1,[76212],[13928],-0.503381,-7.085581,6.5822,-0.503381,-7.085581,6.5822,True,True,english
"While Liam and Mia were at the library, Liam delivered the book to","While Noah and Mia were at the library, Noah delivered the book to",Mia,Liam,Noah,ABB,5,the library,book,1,1,[60597],[60642],-1.922884,-4.601058,2.678174,-1.922884,-4.601058,2.678174,True,True,english
"When Noah and Olivia arrived at the museum, Olivia passed the ticket to","When Noah and Paul arrived at the museum, Paul passed the ticket to",Noah,Olivia,Paul,BAB,2,the museum,ticket,1,1,[41984],[59287],-0.533902,-5.477091,4.943189,-0.533902,-5.477091,4.943189,True,True,english
"As Rose and Sam walked through the market, Sam offered the pen to","As Rose and Tara walked through the market, Tara offered the pen to",Rose,Sam,Tara,ABB,6,the market,pen,1,1,[15964],[8224],-0.364011,-7.191645,6.827634,-0.364011,-7.191645,6.827634,True,True,english
"After Tara and Uma left the school, Tara sent the phone to","After Victor and Uma left the school, Victor sent the phone to",Uma,Tara,Victor,BAB,3,the school,phone,1,1,[85768],[69697],-1.27362,-5.548184,4.274564,-1.27362,-5.548184,4.274564,True,True,english
"When Victor and Wendy visited the hospital, Wendy handed the wallet to","When Victor and Xander visited the hospital, Xander handed the wallet to",Victor,Wendy,Xander,ABB,1,the hospital,wallet,1,1,[32312],[54576],-1.150807,-4.596838,3.446031,-1.150807,-4.596838,3.446031,True,True,english
