prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
जब अर्जुन और श्याम पुस्तकालय आए, श्याम ने पैकेज भेजा,अर्जुन,मीना,श्याम,ABB,2,पुस्तकालय,पैकेज,7,4,"[14925, 227, 44179, 30484, 250, 72653, 60096]","[91217, 43647, 60096, 23868]",-6.696355,-19.100862,12.404508,-0.956622,-4.775216,3.818593,True,True,hindi
जब नीता और अनिल दुकान छोड़े, अनिल ने चाबी दे दिया,नीता,कमल,अनिल,ABB,3,दुकान,चाबी,5,3,"[14925, 101, 43647, 79238, 23868]","[47809, 87244, 91811]",-10.487017,-12.904318,2.417301,-2.097403,-4.301439,2.204036,True,True,hindi
जब पूजा और सीता अस्पताल गए, सीता ने टिकट दिया,पूजा,विजय,सीता,ABB,0,अस्पताल,टिकट,5,5,"[83636, 12619, 224, 146114, 23868]","[14925, 113, 42311, 250, 145420]",-10.105103,-13.387743,3.28264,-2.021021,-2.677549,0.656528,True,True,hindi
जब राम और श्याम स्कूल गए, राम ने फोन दिया,श्याम,गीता,राम,BAB,0,स्कूल,फोन,6,5,"[14925, 114, 30484, 107, 31411, 106]","[14925, 245, 43647, 79238, 23868]",-7.391764,-15.013398,7.621634,-1.231961,-3.00268,1.770719,True,True,hindi
जब देवी और अनिल बाजार पहुंचे, देवी ने कलम सौंपा,अनिल,सीता,देवी,BAB,1,बाजार,कलम,5,4,"[14925, 227, 60096, 42311, 110]","[68158, 43647, 79238, 23868]",-8.500764,-13.795691,5.294928,-1.700153,-3.448923,1.74877,True,True,hindi
जब प्रिया और मोहन संग्रहालय आए, प्रिया ने कार्ड भेजा,मोहन,राम,प्रिया,BAB,2,संग्रहालय,कार्ड,4,4,"[91217, 54575, 93948, 60096]","[14925, 108, 31411, 106]",-7.313679,-11.721209,4.40753,-1.82842,-2.930302,1.101882,True,True,hindi
जब रोहन और देवी स्टेशन छोड़े, रोहन ने थैला दे दिया,देवी,सुनीता,रोहन,BAB,3,स्टेशन,थैला,5,6,"[14925, 99, 54784, 113, 43647]","[68158, 72653, 60096, 43647, 79238, 23868]",-10.528732,-22.690104,12.161372,-2.105746,-3.781684,1.675938,True,True,hindi
जब अजय और रोहन कार्यालय गए, अजय ने पत्र दिया,रोहन,विजय,अजय,BAB,0,कार्यालय,पत्र,5,5,"[14925, 108, 54575, 93948, 60096]","[14925, 113, 42311, 250, 145420]",-6.488543,-12.946248,6.457705,-1.297709,-2.58925,1.291541,True,True,hindi
जब कमल और अजय रेस्टोरेंट पहुंचे, कमल ने उपहार सौंपा,अजय,अर्जुन,कमल,BAB,1,रेस्टोरेंट,उपहार,4,7,"[14925, 227, 146114, 145420]","[14925, 227, 44179, 30484, 250, 72653, 60096]",-9.266516,-13.694066,4.427549,-2.316629,-1.956295,-0.360334,True,False,hindi
जब मीना और सुरेश पार्क आए, मीना ने किताब भेजा,सुरेश,प्रिया,मीना,BAB,2,पार्क,किताब,5,5,"[68158, 72653, 44179, 54784, 114]","[83636, 85033, 42311, 107, 23868]",-9.921105,-19.30814,9.387035,-1.984221,-3.861628,1.877407,True,True,hindi
जब सुनीता और ललिता पुस्तकालय छोड़े, सुनीता ने टिकट दे दिया,ललिता,रोहन,सुनीता,BAB,3,पुस्तकालय,टिकट,6,5,"[14925, 110, 91811, 42311, 97, 23868]","[14925, 108, 54575, 93948, 60096]",-19.027997,-13.994228,-5.033769,-3.171333,-2.798846,-0.372487,False,False,hindi
जब पूजा और सुनीता दुकान गए, पूजा ने चाबी दिया,सुनीता,मीना,पूजा,BAB,0,दुकान,चाबी,6,4,"[68158, 72653, 60096, 43647, 79238, 23868]","[91217, 43647, 60096, 23868]",-10.332716,-17.167224,6.834508,-1.722119,-4.291806,2.569687,True,True,hindi
जब अर्जुन और विजय बाजार पहुंचे, अर्जुन ने फोन सौंपा,विजय,कमल,अर्जुन,BAB,1,बाजार,फोन,5,3,"[14925, 113, 42311, 250, 145420]","[47809, 87244, 91811]",-11.156878,-13.816354,2.659477,-2.231376,-4.605451,2.374076,True,True,hindi
जब श्याम और नीता स्टेशन आए, श्याम ने उपहार भेजा,नीता,सुरेश,श्याम,BAB,2,स्टेशन,उपहार,5,5,"[14925, 101, 43647, 79238, 23868]","[68158, 72653, 44179, 54784, 114]",-11.312731,-19.859995,8.547264,-2.262546,-3.971999,1.709453,True,True,hindi
जब गीता और पूजा रेस्टोरेंट छोड़े, गीता ने पत्र दे दिया,पूजा,अजय,गीता,BAB,3,रेस्टोरेंट,पत्र,5,4,"[83636, 12619, 224, 146114, 23868]","[14925, 227, 146114, 145420]",-10.314644,-14.731822,4.417177,-2.062929,-3.682955,1.620027,True,True,hindi
