prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id
"After Zach and Rose left the hospital, Zach sent the wallet to","After Noah and Rose left the hospital, Noah sent the wallet to",Rose,Zach,Noah,BAB,3,the hospital,wallet,8049,18825
"When Noah and Victor visited the office, Victor handed the letter to","When Noah and Fred visited the office, Fred handed the letter to",Noah,Victor,Fred,ABB,1,the office,letter,18394,12622
"When Wendy and Frank visited the school, Wendy handed the bag to","When Olivia and Frank visited the school, Olivia handed the bag to",Frank,Wendy,Olivia,BAB,1,the school,bag,5278,28314
"While Sam and Xander were at the park, Sam delivered the ticket to","While Tara and Xander were at the park, Tara delivered the ticket to",Xander,Sam,Tara,BAB,5,the park,ticket,46122,3409
"When Gina and Yara visited the park, Gina handed the map to","When Tara and Yara visited the park, Tara handed the map to",Yara,Gina,Tara,BAB,1,the park,map,575,43002
"As Jack and Emma walked through the restaurant, Emma offered the bag to","As Jack and Ella walked through the restaurant, Ella offered the bag to",Jack,Emma,Ella,ABB,6,the restaurant,bag,3619,18966
"After Frank and Quinn left the library, Frank sent the bag to","After Isla and Quinn left the library, Isla sent the bag to",Quinn,Frank,Isla,BAB,3,the library,bag,16109,5278
"After Alice and Iris left the gym, Alice sent the card to","After Kate and Iris left the gym, Kate sent the card to",Iris,Alice,Kate,BAB,3,the gym,card,34230,14862
"After David and Kate left the market, Kate sent the ticket to","After David and Clara left the market, Clara sent the ticket to",David,Kate,Clara,ABB,3,the market,ticket,3271,16693
"When Rose and Ella went to the gym, Rose gave the map to","When Xander and Ella went to the gym, Xander gave the map to",Ella,Rose,Xander,BAB,0,the gym,map,7122,8049
"Once Frank and Rose were at the beach, Frank brought the pen to","Once Paul and Rose were at the beach, Paul brought the pen to",Rose,Frank,Paul,BAB,4,the beach,pen,8049,5278
"Once Tara and Quinn were at the mall, Quinn brought the ticket to","Once Tara and Xander were at the mall, Xander brought the ticket to",Tara,Quinn,Xander,ABB,4,the mall,ticket,37723,16109
"As Victor and Uma walked through the library, Uma offered the bag to","As Victor and Grace walked through the library, Grace offered the bag to",Victor,Uma,Grace,ABB,6,the library,bag,12622,471
"As Grace and Jack walked through the hospital, Grace offered the trophy to","As Sam and Jack walked through the hospital, Sam offered the trophy to",Jack,Grace,Sam,BAB,6,the hospital,trophy,3619,16156
"While Rose and Noah were at the school, Rose delivered the trophy to","While Liam and Noah were at the school, Liam delivered the trophy to",Noah,Rose,Liam,BAB,5,the school,trophy,18394,8049
"Once Brian and Frank were at the restaurant, Frank brought the bag to","Once Brian and Liam were at the restaurant, Liam brought the bag to",Brian,Frank,Liam,ABB,4,the restaurant,bag,8403,5278
"As Sam and Frank walked through the park, Frank offered the note to","As Sam and Olivia walked through the park, Olivia offered the note to",Sam,Frank,Olivia,ABB,6,the park,note,3409,5278
"As Yara and Zach walked through the theater, Zach offered the letter to","As Yara and Wendy walked through the theater, Wendy offered the letter to",Yara,Zach,Wendy,ABB,6,the theater,letter,575,18825
"As Jack and Yara walked through the store, Jack offered the card to","As Liam and Yara walked through the store, Liam offered the card to",Yara,Jack,Liam,BAB,6,the store,card,575,3619
"After Iris and Mia left the park, Iris sent the phone to","After Carol and Mia left the park, Carol sent the phone to",Mia,Iris,Carol,BAB,3,the park,phone,32189,34230
"When Liam and Jack arrived at the library, Liam passed the jacket to","When Gina and Jack arrived at the library, Gina passed the jacket to",Jack,Liam,Gina,BAB,2,the library,jacket,3619,31684
"Once Rose and Uma were at the school, Rose brought the gift to","Once Amy and Uma were at the school, Amy brought the gift to",Uma,Rose,Amy,BAB,4,the school,gift,471,8049
"When Sam and Iris went to the cafe, Iris gave the book to","When Sam and Fred went to the cafe, Fred gave the book to",Sam,Iris,Fred,ABB,0,the cafe,book,3409,34230
"While Fred and Frank were at the library, Fred delivered the bag to","While Victor and Frank were at the library, Victor delivered the bag to",Frank,Fred,Victor,BAB,5,the library,bag,5278,8559
"As Gina and Carol walked through the beach, Gina offered the phone to","As Harry and Carol walked through the beach, Harry offered the phone to",Carol,Gina,Harry,BAB,6,the beach,phone,5074,43002
"When Mia and Gina arrived at the school, Mia passed the book to","When Zach and Gina arrived at the school, Zach passed the book to",Gina,Mia,Zach,BAB,2,the school,book,43002,32189
"When Ella and David arrived at the theater, Ella passed the pen to","When Harry and David arrived at the theater, Harry passed the pen to",David,Ella,Harry,BAB,2,the theater,pen,3271,7122
"Once Ella and Clara were at the beach, Clara brought the gift to","Once Ella and Xander were at the beach, Xander brought the gift to",Ella,Clara,Xander,ABB,4,the beach,gift,7122,27443
"While David and Kate were at the restaurant, David delivered the jacket to","While Zach and Kate were at the restaurant, Zach delivered the jacket to",Kate,David,Zach,BAB,5,the restaurant,jacket,16693,3271
"While Kate and Wendy were at the cafe, Kate delivered the jacket to","While Quinn and Wendy were at the cafe, Quinn delivered the jacket to",Wendy,Kate,Quinn,BAB,5,the cafe,jacket,28314,16693
"When Iris and Quinn arrived at the park, Quinn passed the book to","When Iris and Sam arrived at the park, Sam passed the book to",Iris,Quinn,Sam,ABB,2,the park,book,34230,16109
"As Olivia and Henry walked through the library, Henry offered the package to","As Olivia and Mia walked through the library, Mia offered the package to",Olivia,Henry,Mia,ABB,6,the library,package,33911,8616
"As Zach and Harry walked through the cafe, Zach offered the bag to","As Wendy and Harry walked through the cafe, Wendy offered the bag to",Harry,Zach,Wendy,BAB,6,the cafe,bag,5850,18825
"When Ella and Fred went to the theater, Ella gave the note to","When Tara and Fred went to the theater, Tara gave the note to",Fred,Ella,Tara,BAB,0,the theater,note,8559,7122
"Once Xander and Zach were at the office, Xander brought the pen to","Once Henry and Zach were at the office, Henry brought the pen to",Zach,Xander,Henry,BAB,4,the office,pen,18825,46122
"While Xander and Emma were at the gym, Emma delivered the book to","While Xander and Gina were at the gym, Gina delivered the book to",Xander,Emma,Gina,ABB,5,the gym,book,46122,18966
"Once Wendy and Henry were at the museum, Henry brought the card to","Once Wendy and Liam were at the museum, Liam brought the card to",Wendy,Henry,Liam,ABB,4,the museum,card,28314,8616
"Once Fred and Iris were at the station, Fred brought the book to","Once Alice and Iris were at the station, Alice brought the book to",Iris,Fred,Alice,BAB,4,the station,book,34230,8559
"While Ella and Xander were at the cafe, Xander delivered the card to","While Ella and Grace were at the cafe, Grace delivered the card to",Ella,Xander,Grace,ABB,5,the cafe,card,7122,46122
"When Isla and Liam arrived at the station, Isla passed the ticket to","When Wendy and Liam arrived at the station, Wendy passed the ticket to",Liam,Isla,Wendy,BAB,2,the station,ticket,31684,1148
"When Paul and Mia arrived at the cafe, Mia passed the bag to","When Paul and Harry arrived at the cafe, Harry passed the bag to",Paul,Mia,Harry,ABB,2,the cafe,bag,3362,32189
"When Iris and Ella arrived at the hospital, Ella passed the map to","When Iris and Kate arrived at the hospital, Kate passed the map to",Iris,Ella,Kate,ABB,2,the hospital,map,34230,7122
"When David and Rose visited the hospital, David handed the phone to","When Gina and Rose visited the hospital, Gina handed the phone to",Rose,David,Gina,BAB,1,the hospital,phone,8049,3271
"When Emma and Carol visited the office, Carol handed the map to","When Emma and Bob visited the office, Bob handed the map to",Emma,Carol,Bob,ABB,1,the office,map,18966,5074
"After Bob and Fred left the museum, Bob sent the book to","After Grace and Fred left the museum, Grace sent the book to",Fred,Bob,Grace,BAB,3,the museum,book,8559,5811
"When Zach and Paul visited the beach, Zach handed the phone to","When Fred and Paul visited the beach, Fred handed the phone to",Paul,Zach,Fred,BAB,1,the beach,phone,3362,18825
"When Olivia and Paul arrived at the library, Paul passed the key to","When Olivia and Derek arrived at the library, Derek passed the key to",Olivia,Paul,Derek,ABB,2,the library,key,33911,3362
"After Iris and Amy left the market, Amy sent the map to","After Iris and Xander left the market, Xander sent the map to",Iris,Amy,Xander,ABB,3,the market,map,34230,14235
"Once Grace and Wendy were at the station, Wendy brought the letter to","Once Grace and Amy were at the station, Amy brought the letter to",Grace,Wendy,Amy,ABB,4,the station,letter,16156,28314
"When Ella and Bob arrived at the park, Ella passed the note to","When Henry and Bob arrived at the park, Henry passed the note to",Bob,Ella,Henry,BAB,2,the park,note,5811,7122
"When Wendy and Yara visited the office, Wendy handed the pen to","When Liam and Yara visited the office, Liam handed the pen to",Yara,Wendy,Liam,BAB,1,the office,pen,575,28314
"When Tara and Grace arrived at the beach, Grace passed the phone to","When Tara and Bob arrived at the beach, Bob passed the phone to",Tara,Grace,Bob,ABB,2,the beach,phone,37723,16156
"While Zach and David were at the library, Zach delivered the book to","While Grace and David were at the library, Grace delivered the book to",David,Zach,Grace,BAB,5,the library,book,3271,18825
"While Fred and Amy were at the restaurant, Fred delivered the package to","While Iris and Amy were at the restaurant, Iris delivered the package to",Amy,Fred,Iris,BAB,5,the restaurant,package,14235,8559
"When Henry and Derek visited the theater, Derek handed the package to","When Henry and Emma visited the theater, Emma handed the package to",Henry,Derek,Emma,ABB,1,the theater,package,8616,20893
"After Kate and David left the mall, Kate sent the pen to","After Grace and David left the mall, Grace sent the pen to",David,Kate,Grace,BAB,3,the mall,pen,3271,16693
"While Mia and Harry were at the store, Mia delivered the phone to","While Bob and Harry were at the store, Bob delivered the phone to",Harry,Mia,Bob,BAB,5,the store,phone,5850,32189
"When Grace and Derek arrived at the store, Grace passed the note to","When Iris and Derek arrived at the store, Iris passed the note to",Derek,Grace,Iris,BAB,2,the store,note,20893,16156
"As Gina and Bob walked through the market, Bob offered the book to","As Gina and Yara walked through the market, Yara offered the book to",Gina,Bob,Yara,ABB,6,the market,book,43002,5811
"After Emma and David left the library, David sent the map to","After Emma and Alice left the library, Alice sent the map to",Emma,David,Alice,ABB,3,the library,map,18966,3271
"When Fred and Liam visited the museum, Fred handed the jacket to","When Brian and Liam visited the museum, Brian handed the jacket to",Liam,Fred,Brian,BAB,1,the museum,jacket,31684,8559
"When Uma and Mia went to the park, Uma gave the letter to","When Gina and Mia went to the park, Gina gave the letter to",Mia,Uma,Gina,BAB,0,the park,letter,32189,471
"When Wendy and Jack arrived at the market, Wendy passed the wallet to","When Tara and Jack arrived at the market, Tara passed the wallet to",Jack,Wendy,Tara,BAB,2,the market,wallet,3619,28314
"When Liam and Fred arrived at the theater, Fred passed the key to","When Liam and Noah arrived at the theater, Noah passed the key to",Liam,Fred,Noah,ABB,2,the theater,key,31684,8559
"As Tara and Derek walked through the mall, Derek offered the gift to","As Tara and Uma walked through the mall, Uma offered the gift to",Tara,Derek,Uma,ABB,6,the mall,gift,37723,20893
"When David and Jack went to the library, David gave the gift to","When Isla and Jack went to the library, Isla gave the gift to",Jack,David,Isla,BAB,0,the library,gift,3619,3271
"As Ella and Harry walked through the museum, Harry offered the map to","As Ella and Amy walked through the museum, Amy offered the map to",Ella,Harry,Amy,ABB,6,the museum,map,7122,5850
"When Victor and Frank went to the restaurant, Victor gave the package to","When Clara and Frank went to the restaurant, Clara gave the package to",Frank,Victor,Clara,BAB,0,the restaurant,package,5278,12622
"After Zach and Yara left the library, Zach sent the card to","After Bob and Yara left the library, Bob sent the card to",Yara,Zach,Bob,BAB,3,the library,card,575,18825
"When Sam and Paul went to the restaurant, Paul gave the letter to","When Sam and Emma went to the restaurant, Emma gave the letter to",Sam,Paul,Emma,ABB,0,the restaurant,letter,3409,3362
"Once Amy and Gina were at the park, Amy brought the letter to","Once Jack and Gina were at the park, Jack brought the letter to",Gina,Amy,Jack,BAB,4,the park,letter,43002,14235
"When Noah and Uma visited the beach, Noah handed the jacket to","When Mia and Uma visited the beach, Mia handed the jacket to",Uma,Noah,Mia,BAB,1,the beach,jacket,471,18394
"While Victor and Paul were at the market, Victor delivered the trophy to","While Derek and Paul were at the market, Derek delivered the trophy to",Paul,Victor,Derek,BAB,5,the market,trophy,3362,12622
"When Frank and Bob visited the cafe, Bob handed the letter to","When Frank and Quinn visited the cafe, Quinn handed the letter to",Frank,Bob,Quinn,ABB,1,the cafe,letter,5278,5811
"As Rose and Amy walked through the park, Amy offered the ticket to","As Rose and Quinn walked through the park, Quinn offered the ticket to",Rose,Amy,Quinn,ABB,6,the park,ticket,8049,14235
"While Victor and Quinn were at the school, Quinn delivered the jacket to","While Victor and Fred were at the school, Fred delivered the jacket to",Victor,Quinn,Fred,ABB,5,the school,jacket,12622,16109
"When David and Alice arrived at the office, Alice passed the wallet to","When David and Noah arrived at the office, Noah passed the wallet to",David,Alice,Noah,ABB,2,the office,wallet,3271,14862
"When Isla and Zach arrived at the office, Isla passed the jacket to","When Frank and Zach arrived at the office, Frank passed the jacket to",Zach,Isla,Frank,BAB,2,the office,jacket,18825,1148
"After Sam and Frank left the store, Sam sent the letter to","After Bob and Frank left the store, Bob sent the letter to",Frank,Sam,Bob,BAB,3,the store,letter,5278,3409
"While Fred and Isla were at the restaurant, Isla delivered the ticket to","While Fred and Sam were at the restaurant, Sam delivered the ticket to",Fred,Isla,Sam,ABB,5,the restaurant,ticket,8559,1148
"As Harry and Fred walked through the store, Harry offered the card to","As Xander and Fred walked through the store, Xander offered the card to",Fred,Harry,Xander,BAB,6,the store,card,8559,5850
"When Jack and Wendy went to the mall, Jack gave the gift to","When Grace and Wendy went to the mall, Grace gave the gift to",Wendy,Jack,Grace,BAB,0,the mall,gift,28314,3619
"After Tara and Brian left the cafe, Brian sent the key to","After Tara and Quinn left the cafe, Quinn sent the key to",Tara,Brian,Quinn,ABB,3,the cafe,key,37723,8403
"When Amy and Henry went to the park, Amy gave the key to","When Clara and Henry went to the park, Clara gave the key to",Henry,Amy,Clara,BAB,0,the park,key,8616,14235
"When Bob and Noah visited the park, Bob handed the bag to","When Gina and Noah visited the park, Gina handed the bag to",Noah,Bob,Gina,BAB,1,the park,bag,18394,5811
"When Clara and Amy went to the hospital, Clara gave the key to","When Yara and Amy went to the hospital, Yara gave the key to",Amy,Clara,Yara,BAB,0,the hospital,key,14235,27443
"When Uma and Noah arrived at the park, Uma passed the letter to","When Amy and Noah arrived at the park, Amy passed the letter to",Noah,Uma,Amy,BAB,2,the park,letter,18394,471
"After David and Victor left the gym, Victor sent the map to","After David and Henry left the gym, Henry sent the map to",David,Victor,Henry,ABB,3,the gym,map,3271,12622
"As Kate and Mia walked through the restaurant, Mia offered the book to","As Kate and Iris walked through the restaurant, Iris offered the book to",Kate,Mia,Iris,ABB,6,the restaurant,book,16693,32189
"While Zach and Gina were at the store, Zach delivered the package to","While Henry and Gina were at the store, Henry delivered the package to",Gina,Zach,Henry,BAB,5,the store,package,43002,18825
"When Clara and Frank arrived at the museum, Clara passed the key to","When Tara and Frank arrived at the museum, Tara passed the key to",Frank,Clara,Tara,BAB,2,the museum,key,5278,27443
"When Clara and Rose went to the beach, Clara gave the pen to","When Jack and Rose went to the beach, Jack gave the pen to",Rose,Clara,Jack,BAB,0,the beach,pen,8049,27443
"While Emma and Derek were at the museum, Derek delivered the gift to","While Emma and Tara were at the museum, Tara delivered the gift to",Emma,Derek,Tara,ABB,5,the museum,gift,18966,20893
"After Derek and Alice left the cafe, Alice sent the phone to","After Derek and Jack left the cafe, Jack sent the phone to",Derek,Alice,Jack,ABB,3,the cafe,phone,20893,14862
"When Emma and Paul went to the mall, Paul gave the pen to","When Emma and Zach went to the mall, Zach gave the pen to",Emma,Paul,Zach,ABB,0,the mall,pen,18966,3362
"When Yara and Frank visited the school, Frank handed the map to","When Yara and Isla visited the school, Isla handed the map to",Yara,Frank,Isla,ABB,1,the school,map,575,5278
"When Emma and Ella arrived at the museum, Ella passed the letter to","When Emma and Carol arrived at the museum, Carol passed the letter to",Emma,Ella,Carol,ABB,2,the museum,letter,18966,7122
"When Kate and Olivia went to the theater, Kate gave the map to","When Clara and Olivia went to the theater, Clara gave the map to",Olivia,Kate,Clara,BAB,0,the theater,map,33911,16693
"When Emma and David went to the mall, David gave the book to","When Emma and Olivia went to the mall, Olivia gave the book to",Emma,David,Olivia,ABB,0,the mall,book,18966,3271
"While Bob and Ella were at the theater, Ella delivered the wallet to","While Bob and Quinn were at the theater, Quinn delivered the wallet to",Bob,Ella,Quinn,ABB,5,the theater,wallet,5811,7122
"When Rose and Paul arrived at the restaurant, Rose passed the ticket to","When Zach and Paul arrived at the restaurant, Zach passed the ticket to",Paul,Rose,Zach,BAB,2,the restaurant,ticket,3362,8049
"As Noah and Clara walked through the gym, Clara offered the gift to","As Noah and Paul walked through the gym, Paul offered the gift to",Noah,Clara,Paul,ABB,6,the gym,gift,18394,27443
"While Sam and Derek were at the office, Derek delivered the trophy to","While Sam and Emma were at the office, Emma delivered the trophy to",Sam,Derek,Emma,ABB,5,the office,trophy,3409,20893
"Once Derek and Mia were at the school, Derek brought the package to","Once Grace and Mia were at the school, Grace brought the package to",Mia,Derek,Grace,BAB,4,the school,package,32189,20893
"When Sam and Brian visited the office, Brian handed the key to","When Sam and Fred visited the office, Fred handed the key to",Sam,Brian,Fred,ABB,1,the office,key,3409,8403
"After Paul and Isla left the market, Isla sent the bag to","After Paul and Iris left the market, Iris sent the bag to",Paul,Isla,Iris,ABB,3,the market,bag,3362,1148
"While Alice and Quinn were at the office, Quinn delivered the book to","While Alice and Xander were at the office, Xander delivered the book to",Alice,Quinn,Xander,ABB,5,the office,book,14862,16109
"As Clara and Gina walked through the museum, Gina offered the gift to","As Clara and Jack walked through the museum, Jack offered the gift to",Clara,Gina,Jack,ABB,6,the museum,gift,27443,43002
"Once Rose and Noah were at the park, Rose brought the wallet to","Once Emma and Noah were at the park, Emma brought the wallet to",Noah,Rose,Emma,BAB,4,the park,wallet,18394,8049
"As Olivia and Grace walked through the hospital, Grace offered the bag to","As Olivia and Wendy walked through the hospital, Wendy offered the bag to",Olivia,Grace,Wendy,ABB,6,the hospital,bag,33911,16156
"While Victor and Emma were at the gym, Victor delivered the map to","While Rose and Emma were at the gym, Rose delivered the map to",Emma,Victor,Rose,BAB,5,the gym,map,18966,12622
"When Fred and Brian visited the museum, Brian handed the card to","When Fred and Liam visited the museum, Liam handed the card to",Fred,Brian,Liam,ABB,1,the museum,card,8559,8403
"As Frank and Henry walked through the school, Frank offered the key to","As Kate and Henry walked through the school, Kate offered the key to",Henry,Frank,Kate,BAB,6,the school,key,8616,5278
"While Frank and Emma were at the cafe, Frank delivered the card to","While Sam and Emma were at the cafe, Sam delivered the card to",Emma,Frank,Sam,BAB,5,the cafe,card,18966,5278
"As Amy and Ella walked through the restaurant, Ella offered the bag to","As Amy and Mia walked through the restaurant, Mia offered the bag to",Amy,Ella,Mia,ABB,6,the restaurant,bag,14235,7122
"Once Ella and Henry were at the library, Ella brought the phone to","Once Noah and Henry were at the library, Noah brought the phone to",Henry,Ella,Noah,BAB,4,the library,phone,8616,7122
"While Sam and David were at the beach, David delivered the package to","While Sam and Frank were at the beach, Frank delivered the package to",Sam,David,Frank,ABB,5,the beach,package,3409,3271
"When Brian and Victor visited the theater, Brian handed the note to","When Derek and Victor visited the theater, Derek handed the note to",Victor,Brian,Derek,BAB,1,the theater,note,12622,8403
"After Wendy and Quinn left the park, Wendy sent the bag to","After Bob and Quinn left the park, Bob sent the bag to",Quinn,Wendy,Bob,BAB,3,the park,bag,16109,28314
"When Tara and David went to the store, Tara gave the jacket to","When Liam and David went to the store, Liam gave the jacket to",David,Tara,Liam,BAB,0,the store,jacket,3271,37723
"When Isla and Victor went to the mall, Victor gave the key to","When Isla and Bob went to the mall, Bob gave the key to",Isla,Victor,Bob,ABB,0,the mall,key,1148,12622
"When Kate and Noah went to the market, Kate gave the map to","When Sam and Noah went to the market, Sam gave the map to",Noah,Kate,Sam,BAB,0,the market,map,18394,16693
"Once Harry and Derek were at the office, Derek brought the trophy to","Once Harry and David were at the office, David brought the trophy to",Harry,Derek,David,ABB,4,the office,trophy,5850,20893
"When Harry and Rose arrived at the station, Harry passed the pen to","When Emma and Rose arrived at the station, Emma passed the pen to",Rose,Harry,Emma,BAB,2,the station,pen,8049,5850
"After Rose and Isla left the museum, Isla sent the map to","After Rose and Ella left the museum, Ella sent the map to",Rose,Isla,Ella,ABB,3,the museum,map,8049,1148
"After Uma and Ella left the gym, Ella sent the letter to","After Uma and Harry left the gym, Harry sent the letter to",Uma,Ella,Harry,ABB,3,the gym,letter,471,7122
"When Derek and Harry visited the mall, Harry handed the map to","When Derek and Wendy visited the mall, Wendy handed the map to",Derek,Harry,Wendy,ABB,1,the mall,map,20893,5850
